"year","country","vturn","outlays","realgdpgr","unemp"
1960,"Australia",95.5,NA,NA,1.42
1961,"Australia",95.3,NA,-0.07,2.79
1962,"Australia",95.3,23.17,5.71,2.63
1963,"Australia",95.7,23.01,6.1,2.12
1964,"Australia",95.7,22.88,6.28,1.15
1965,"Australia",95.7,24.9,4.97,1.15
1966,"Australia",95.1,26.06,2.9,1.6
1967,"Australia",95.1,26.35,7.25,1.88
1968,"Australia",95.1,26.52,5.3,1.82
1969,"Australia",95,25.05,6.29,1.82
1970,"Australia",95,25.23,6.96,1.65
1971,"Australia",95,25.55,3.85,1.91
1972,"Australia",95.4,27.34,2.32,2.61
1973,"Australia",95.4,26.03,4.39,2.31
1974,"Australia",95.4,28.99,1.58,2.67
1975,"Australia",95.4,31.64,2.35,4.9
1976,"Australia",95.4,33.81,3.92,4.77
1977,"Australia",95,34.86,1.45,5.63
1978,"Australia",95,34.59,2.03,6.43
1979,"Australia",95,32.97,4.65,6.26
1980,"Australia",94.4,32.94,2.84,6.11
1981,"Australia",94.4,33.11,4.07,5.78
1982,"Australia",94.4,35.79,-0.39,7.16
1983,"Australia",94.6,37.31,-0.17,9.96
1984,"Australia",94.2,38.81,6.55,8.99
1985,"Australia",94.2,39.72,5.22,8.26
1986,"Australia",94.2,39.43,2.24,8.08
1987,"Australia",93.8,37.22,5.17,8.11
1988,"Australia",93.8,34.07,4.42,7.23
1989,"Australia",93.8,32.56,4.26,6.17
1990,"Australia",95.3,33.38,1.52,6.93
1991,"Australia",95.3,35.89,-1.18,9.59
1992,"Australia",95.3,37.01,2.96,10.8
1993,"Australia",95.8,36.3,4.08,10.9
1994,"Australia",95.8,36.15,4.76,9.75
1995,"Australia",95.8,35.83,3.58,8.49
1996,"Australia",95.8,35.17,3.9,8.55
1997,"Australia",95.8,34.37,3.9,8.45
1998,"Australia",95,33.73,5.19,7.72
1999,"Australia",95,33.53,4.07,6.93
2000,"Australia",95,33.94,3.14,6.28
2001,"Australia",94.9,34.47,2.76,6.75
2002,"Australia",94.9,33.83,3.78,6.36
2003,"Australia",94.9,33.31,3.35,5.94
2004,"Australia",94.3,33.77,3.76,5.4
2005,"Australia",94.3,33.29,3.28,5.04
2006,"Australia",94.3,32.98,2.6,4.79
2007,"Australia",94.8,32.96,4.89,4.38
2008,"Australia",94.8,33.9,2.28,4.25
2009,"Australia",94.8,36.58,1.45,5.59
2010,"Australia",93.2,36.26,2.43,5.23
1960,"Austria",94.2,36.29,NA,2.41
1961,"Austria",94.2,35.71,5.55,1.86
1962,"Austria",93.8,37.56,2.62,1.9
1963,"Austria",93.8,38.64,4.15,2.09
1964,"Austria",93.8,38.67,6.18,1.94
1965,"Austria",93.8,38.35,3.01,1.92
1966,"Austria",93.8,38.75,5.14,1.75
1967,"Austria",93.8,40.73,2.84,1.85
1968,"Austria",93.8,40.89,4.11,1.57
1969,"Austria",93.8,40.69,5.46,2.04
1970,"Austria",91.8,39.54,6.43,1.39
1971,"Austria",92.4,40.03,5.11,1.26
1972,"Austria",92.4,40.07,6.21,1.16
1973,"Austria",92.4,41.5,4.89,1.08
1974,"Austria",92.4,42.03,3.94,1.34
1975,"Austria",92.9,46.09,-0.36,1.77
1976,"Austria",92.9,46.94,4.58,1.8
1977,"Austria",92.9,46.57,4.68,1.61
1978,"Austria",92.9,49.66,-0.36,2.08
1979,"Austria",92.2,48.98,5.45,2.09
1980,"Austria",92.2,49.24,2.31,1.85
1981,"Austria",92.2,50.74,-0.1,2.52
1982,"Austria",92.2,51.35,1.91,3.51
1983,"Austria",92.6,51.76,2.8,4.1
1984,"Austria",92.6,51.87,0.33,3.81
1985,"Austria",92.6,52.88,2.24,3.61
1986,"Austria",90.5,53.76,2.34,3.13
1987,"Austria",90.5,53.98,1.68,3.79
1988,"Austria",90.5,53.06,3.17,3.55
1989,"Austria",90.5,51.51,3.84,3.13
1990,"Austria",83.7,51.48,3.96,3.23
1991,"Austria",83.7,52.57,3.11,3.47
1992,"Austria",83.7,53.41,1.57,3.62
1993,"Austria",83.7,56.28,0.12,4.26
1994,"Austria",81.9,56.1,1.7,3.59
1995,"Austria",86,56.26,2.57,3.72
1996,"Austria",86,56.11,2.33,4.17
1997,"Austria",86,53.32,2.51,4.29
1998,"Austria",86,53.58,3.79,4.28
1999,"Austria",80.4,53.37,3.43,3.79
2000,"Austria",80.4,51.78,3.79,3.58
2001,"Austria",80.4,51.17,1,3.66
2002,"Austria",84.3,50.71,1.28,4.03
2003,"Austria",84.3,51.33,0.83,4.3
2004,"Austria",84.3,53.94,2.29,4.97
2005,"Austria",84.3,50.02,2.73,5.17
2006,"Austria",78.5,49.17,3.66,4.75
2007,"Austria",78.5,48.68,3.67,4.42
2008,"Austria",78.8,49.6,1.06,3.83
2009,"Austria",78.8,52.98,-3.55,4.79
2010,"Austria",78.8,52.58,2.47,4.4
1960,"Belgium",93.6,NA,NA,3.28
1961,"Belgium",92.3,NA,4.97,2.49
1962,"Belgium",92.3,NA,5.18,2.08
1963,"Belgium",92.3,NA,4.4,1.71
1964,"Belgium",92.3,NA,6.95,1.5
1965,"Belgium",91.6,NA,3.59,1.71
1966,"Belgium",91.6,NA,3.11,1.81
1967,"Belgium",91.6,NA,3.87,2.48
1968,"Belgium",90,NA,4.17,2.95
1969,"Belgium",90,NA,6.62,2.33
1970,"Belgium",90,42.66,6.19,1.93
1971,"Belgium",91.5,43.87,3.75,1.87
1972,"Belgium",91.5,45.03,5.26,2.37
1973,"Belgium",91.5,44.98,6.12,2.45
1974,"Belgium",90.3,44.52,4.2,2.54
1975,"Belgium",90.3,50.19,-1.33,4.56
1976,"Belgium",90.3,50.42,5.65,6.02
1977,"Belgium",95.1,52.17,0.63,6.83
1978,"Belgium",94.8,53.67,2.84,7.4
1979,"Belgium",94.8,55.88,2.34,7.67
1980,"Belgium",94.8,55.91,4.48,8.09
1981,"Belgium",94.6,62.23,-0.28,10.4
1982,"Belgium",94.6,59.95,0.59,12.17
1983,"Belgium",94.6,62.32,0.31,13.47
1984,"Belgium",94.6,58.42,2.47,13.51
1985,"Belgium",93.6,58.34,1.65,12.58
1986,"Belgium",93.6,57.55,1.82,11.89
1987,"Belgium",93.4,55.73,2.31,11.58
1988,"Belgium",93.4,53.82,4.72,10.54
1989,"Belgium",93.4,52.28,3.47,9.47
1990,"Belgium",93.4,52.27,3.14,8.92
1991,"Belgium",92.7,53.48,1.83,9.47
1992,"Belgium",92.7,53.76,1.53,10.48
1993,"Belgium",92.7,54.86,-0.96,12.15
1994,"Belgium",92.7,52.55,3.23,13.06
1995,"Belgium",91.1,52.07,2.38,13
1996,"Belgium",91.1,52.48,1.23,12.72
1997,"Belgium",91.1,51.15,3.85,12.56
1998,"Belgium",91.1,50.36,1.94,11.71
1999,"Belgium",90.6,50.14,3.51,8.56
2000,"Belgium",90.6,49.1,3.78,7.01
2001,"Belgium",90.6,49.11,0.71,6.61
2002,"Belgium",90.6,49.79,1.39,7.54
2003,"Belgium",91.6,51.05,0.79,8.21
2004,"Belgium",91.6,49.21,3.2,8.41
2005,"Belgium",91.6,51.86,1.88,8.44
2006,"Belgium",91.6,48.46,2.72,8.25
2007,"Belgium",91.1,48.26,2.84,7.46
2008,"Belgium",91.1,49.84,0.85,6.98
2009,"Belgium",91.1,53.72,-2.66,7.91
2010,"Belgium",89.2,52.78,2.22,8.29
1960,"Canada",80.6,NA,NA,6.96
1961,"Canada",80.6,NA,3.06,7.15
1962,"Canada",80.1,NA,6.99,5.9
1963,"Canada",80.3,NA,5.31,5.54
1964,"Canada",80.3,NA,6.47,4.67
1965,"Canada",75.9,NA,6.37,3.92
1966,"Canada",75.9,NA,6.65,3.35
1967,"Canada",75.9,NA,2.92,3.82
1968,"Canada",75.7,NA,4.88,4.5
1969,"Canada",75.7,NA,5.03,4.42
1970,"Canada",75.7,35.92,3.03,5.67
1971,"Canada",75.7,37.17,4.12,6.19
1972,"Canada",77.2,37.45,5.45,6.22
1973,"Canada",77.2,36.09,6.96,5.55
1974,"Canada",71,37.44,3.69,5.33
1975,"Canada",71,40.89,1.82,6.92
1976,"Canada",71,40.12,5.2,7.09
1977,"Canada",71,41.15,3.46,8.05
1978,"Canada",71,41.54,3.95,8.38
1979,"Canada",75.7,39.95,3.8,7.53
1980,"Canada",69.3,41.48,2.16,7.54
1981,"Canada",69.3,42.39,3.5,7.61
1982,"Canada",69.3,47.18,-2.86,11.04
1983,"Canada",69.3,47.81,2.72,12.02
1984,"Canada",75.7,47.51,5.81,11.34
1985,"Canada",75.7,48.13,4.78,10.64
1986,"Canada",75.7,47.5,2.42,9.69
1987,"Canada",75.7,46.01,4.25,8.82
1988,"Canada",75.5,45.34,4.97,7.76
1989,"Canada",75.5,45.77,2.62,7.55
1990,"Canada",75.5,48.74,0.19,8.13
1991,"Canada",75.5,52.14,-2.09,10.32
1992,"Canada",75.5,53.24,0.88,11.2
1993,"Canada",69.6,52.21,2.34,11.38
1994,"Canada",69.6,49.79,4.8,10.4
1995,"Canada",69.6,48.45,2.81,9.49
1996,"Canada",69.6,46.73,1.62,9.62
1997,"Canada",67,44.25,4.23,9.1
1998,"Canada",67,44.78,4.1,8.28
1999,"Canada",67,42.98,5.53,7.58
2000,"Canada",60.5,41.09,5.23,6.83
2001,"Canada",60.5,41.97,1.78,7.23
2002,"Canada",60.5,41.23,2.92,7.67
2003,"Canada",60.5,41.18,1.88,7.58
2004,"Canada",60.9,39.86,3.12,7.18
2005,"Canada",60.9,39.3,3.02,6.76
2006,"Canada",64.7,39.45,2.82,6.32
2007,"Canada",64.7,39.35,2.2,6.03
2008,"Canada",58.8,40.03,0.69,6.13
2009,"Canada",58.8,44.37,-2.77,8.27
2010,"Canada",58.8,44.08,3.21,8.01
1960,"Denmark",85.8,NA,NA,1.96
1961,"Denmark",85.8,NA,5.6,1.93
1962,"Denmark",85.8,NA,5.55,1.85
1963,"Denmark",85.8,NA,-1.12,2.06
1964,"Denmark",85.5,NA,11.04,1.47
1965,"Denmark",85.5,NA,4.47,1.18
1966,"Denmark",88.6,NA,7.54,1.38
1967,"Denmark",88.6,NA,5.64,1.22
1968,"Denmark",89.3,NA,5.67,1.22
1969,"Denmark",89.3,NA,6.48,1.13
1970,"Denmark",89.3,NA,1.5,0.73
1971,"Denmark",87.2,42.74,3,1.14
1972,"Denmark",87.2,42.12,4.17,0.97
1973,"Denmark",88.7,40.17,3.76,0.87
1974,"Denmark",88.7,44.89,-0.82,3.6
1975,"Denmark",88.2,46.49,-1.22,4.93
1976,"Denmark",88.2,46.49,6.09,6.41
1977,"Denmark",88,46.86,1.98,7.42
1978,"Denmark",88,47.83,2.27,8.38
1979,"Denmark",85.6,49.93,3.95,6.05
1980,"Denmark",85.6,53.42,-0.49,6.93
1981,"Denmark",83.2,57.81,-0.89,10.43
1982,"Denmark",83.2,59.61,3.71,11.09
1983,"Denmark",83.2,59.21,2.65,11.55
1984,"Denmark",88.4,56.13,4.17,8.59
1985,"Denmark",88.4,55.13,4.02,7.35
1986,"Denmark",88.4,51.09,4.95,5.53
1987,"Denmark",86.7,52.51,0.29,5.47
1988,"Denmark",85.7,55.13,-0.14,6.54
1989,"Denmark",85.7,55.48,0.57,8.23
1990,"Denmark",81.4,55.41,1.61,8.41
1991,"Denmark",81.4,56.07,1.3,9.21
1992,"Denmark",81.4,57.12,1.98,9.1
1993,"Denmark",81.4,60.21,-0.09,10.81
1994,"Denmark",84.3,60.19,5.53,8.13
1995,"Denmark",84.3,59.28,3.07,7.13
1996,"Denmark",84.3,58.91,2.83,6.99
1997,"Denmark",84.3,56.68,3.2,6.16
1998,"Denmark",86,56.33,2.16,5.51
1999,"Denmark",86,55.5,2.56,5.58
2000,"Denmark",86,53.67,3.53,4.64
2001,"Denmark",87.1,54.19,0.7,4.83
2002,"Denmark",87.1,54.58,0.47,4.75
2003,"Denmark",87.1,55.07,0.38,5.6
2004,"Denmark",87.1,54.55,2.3,5.72
2005,"Denmark",84.5,52.79,2.45,5.02
2006,"Denmark",84.5,51.59,3.39,4.1
2007,"Denmark",86.6,50.81,1.58,4.01
2008,"Denmark",86.6,51.52,-0.78,3.38
2009,"Denmark",86.6,57.96,-5.83,6.11
2010,"Denmark",86.6,57.82,1.3,7.58
1960,"Finland",75,26.41,NA,1.46
1961,"Finland",75,25.57,7.61,1.22
1962,"Finland",85.1,27.58,2.98,1.3
1963,"Finland",85.1,28.9,3.28,1.49
1964,"Finland",85.1,30.38,5.24,1.52
1965,"Finland",85.1,30.84,5.3,1.38
1966,"Finland",84.9,32.3,2.37,1.51
1967,"Finland",84.9,33.37,2.17,2.91
1968,"Finland",84.9,33.34,2.3,3.96
1969,"Finland",84.9,31.92,9.59,2.84
1970,"Finland",82.2,31.02,7.47,1.9
1971,"Finland",82.2,32.65,2.06,2.27
1972,"Finland",81.4,33.09,7.6,2.54
1973,"Finland",81.4,32.05,6.6,2.31
1974,"Finland",81.4,32.3,3.07,1.73
1975,"Finland",73.8,38.68,1.07,2.25
1976,"Finland",73.8,40.09,0.17,3.9
1977,"Finland",73.8,41.69,0.6,5.93
1978,"Finland",73.8,41.35,2.5,7.28
1979,"Finland",75.3,40.45,6.72,5.99
1980,"Finland",75.3,40.35,5.09,4.69
1981,"Finland",75.3,41.38,1.27,4.91
1982,"Finland",75.3,43.07,3.1,5.4
1983,"Finland",75.7,44.7,3.07,5.48
1984,"Finland",75.7,44.75,2.99,5.24
1985,"Finland",75.7,46.7,3.23,5.05
1986,"Finland",75.7,47.36,2.75,5.39
1987,"Finland",72.1,47.84,3.62,5.11
1988,"Finland",72.1,46.38,5.15,4.57
1989,"Finland",72.1,44.5,5.42,3.11
1990,"Finland",72.1,48.25,0.14,3.19
1991,"Finland",72.1,57.19,-6,6.67
1992,"Finland",72.1,62.48,-3.48,11.73
1993,"Finland",72.1,64.89,-0.81,16.42
1994,"Finland",72.1,63.63,3.65,16.63
1995,"Finland",71.7,61.56,3.96,15.45
1996,"Finland",71.7,60.2,3.57,14.63
1997,"Finland",71.7,56.68,6.21,12.68
1998,"Finland",71.7,53.04,5.03,11.4
1999,"Finland",68.3,51.82,3.91,10.24
2000,"Finland",68.3,48.45,5.32,9.81
2001,"Finland",68.3,48.03,2.28,9.14
2002,"Finland",68.3,49.07,1.83,9.12
2003,"Finland",69.7,50.36,2.01,9.06
2004,"Finland",69.7,50.27,4.13,8.85
2005,"Finland",69.7,50.42,2.92,8.42
2006,"Finland",69.7,49.27,4.41,7.73
2007,"Finland",65,47.47,5.34,6.86
2008,"Finland",65,49.35,0.29,6.38
2009,"Finland",65,56.14,-8.35,8.28
2010,"Finland",65,55.59,3.73,8.42
1960,"France",77.2,NA,NA,1.29
1961,"France",77.2,NA,4.95,1.13
1962,"France",68.7,NA,6.72,1.28
1963,"France",68.7,61.56,6.28,1.41
1964,"France",68.7,56.59,6.35,1.13
1965,"France",68.7,52.91,4.81,1.4
1966,"France",68.7,52.22,5.28,1.44
1967,"France",81.1,50.79,4.91,1.91
1968,"France",80,48.34,4.41,2.41
1969,"France",80,43.29,7.15,2.08
1970,"France",80,39.23,6.15,2.23
1971,"France",80,38.83,5.31,2.44
1972,"France",80,39.05,4.64,2.54
1973,"France",81.3,39.01,6.56,2.43
1974,"France",81.3,39.64,4.7,2.56
1975,"France",81.3,43.01,-1.14,3.7
1976,"France",81.3,43.36,4.34,4.11
1977,"France",81.3,43.49,3.62,4.61
1978,"France",83.2,44.72,3.91,4.79
1979,"France",83.2,44.92,3.41,5.41
1980,"France",83.2,46,1.69,5.79
1981,"France",70.9,48.56,1.02,6.81
1982,"France",70.9,49.91,2.39,7.39
1983,"France",70.9,50.28,1.23,7.69
1984,"France",70.9,51.21,1.6,8.98
1985,"France",70.9,51.83,1.69,9.54
1986,"France",78.5,51.28,2.16,9.58
1987,"France",78.5,50.7,2.39,9.7
1988,"France",66.2,50.12,4.52,9.32
1989,"France",66.2,48.9,4.39,8.65
1990,"France",66.2,49.57,2.58,8
1991,"France",66.2,50.64,1.09,8.15
1992,"France",66.2,52.03,1.32,9.06
1993,"France",69.3,55.09,-0.66,10.14
1994,"France",69.3,54.11,2.21,10.71
1995,"France",69.3,54.37,2.17,10.12
1996,"France",69.3,54.49,1.04,10.67
1997,"France",68,54.19,2.17,10.73
1998,"France",68,52.75,3.41,10.22
1999,"France",68,52.65,3.18,9.81
2000,"France",68,51.64,3.87,8.37
2001,"France",68,51.63,1.79,7.56
2002,"France",64.4,52.84,0.94,7.71
2003,"France",64.4,53.37,0.89,8.33
2004,"France",64.4,53.34,2.35,8.71
2005,"France",64.4,53.63,1.87,8.73
2006,"France",64.4,52.93,2.66,8.66
2007,"France",60.4,52.6,2.23,7.87
2008,"France",60.4,53.33,-0.2,7.32
2009,"France",60.4,56.85,-2.97,9.09
2010,"France",60.4,56.81,1.59,9.32
1960,"Germany",87.8,32.71,NA,1.03
1961,"Germany",87.7,34.06,4.72,0.69
1962,"Germany",87.7,35.81,4.71,0.59
1963,"Germany",87.7,36.59,2.93,0.7
1964,"Germany",87.7,36.38,6.42,0.64
1965,"Germany",86.8,37.1,5.26,0.55
1966,"Germany",86.8,37.14,2.89,0.61
1967,"Germany",86.8,39,-0.25,1.77
1968,"Germany",86.8,39.26,5.54,1.25
1969,"Germany",86.7,38.66,7.46,0.69
1970,"Germany",86.7,38.43,5.04,0.57
1971,"Germany",86.7,39.91,3.01,0.7
1972,"Germany",91.1,41.06,4.27,0.93
1973,"Germany",91.1,41.57,4.97,1.01
1974,"Germany",91.1,44.7,1.01,2.16
1975,"Germany",91.1,48.7,-0.89,4.03
1976,"Germany",90.7,48.4,4.45,4
1977,"Germany",90.7,47.99,3.5,3.89
1978,"Germany",90.7,46.99,3.11,3.72
1979,"Germany",90.7,46.45,4.29,3.24
1980,"Germany",88.6,46.89,1.3,3.24
1981,"Germany",88.6,47.46,0.65,4.58
1982,"Germany",88.6,47.51,-0.51,6.54
1983,"Germany",88.4,46.58,1.47,8.05
1984,"Germany",88.4,45.82,2.91,7.21
1985,"Germany",88.4,45.08,2.6,7.3
1986,"Germany",88.4,44.4,2.27,6.57
1987,"Germany",84.3,45,1.28,6.31
1988,"Germany",84.3,44.65,3.44,6.29
