"year","country","vturn","outlays","realgdpgr","unemp"
1966,"New Zealand",86,NA,8.16,0.1
1967,"New Zealand",86,NA,-3.29,0.1
1968,"New Zealand",86,NA,-2.77,0.78
1969,"New Zealand",88.9,NA,6.68,0.29
1970,"New Zealand",88.9,NA,3.31,0.09
1971,"New Zealand",88.9,NA,2.71,0.18
1972,"New Zealand",89.1,NA,1.61,0.45
1973,"New Zealand",89.1,NA,9.02,0.17
1974,"New Zealand",89.1,NA,11.31,0.08
1975,"New Zealand",82.5,NA,-5.14,0.25
1976,"New Zealand",82.5,NA,3.25,0.32
1977,"New Zealand",82.5,NA,-1.34,0.32
1978,"New Zealand",83.7,NA,-6.37,1.66
1979,"New Zealand",83.7,NA,1.5,1.94
1980,"New Zealand",83.7,NA,0.39,2.24
1981,"New Zealand",89,NA,4.66,3.6
1982,"New Zealand",89,NA,3.37,3.54
1983,"New Zealand",89,NA,1.11,5.66
1984,"New Zealand",91.7,NA,8.52,5.74
1985,"New Zealand",91.7,NA,1.62,4.18
1986,"New Zealand",91.7,58.56,0.59,4.12
1987,"New Zealand",87.2,53.77,0.72,4.13
1988,"New Zealand",87.2,52.82,2.65,5.63
1989,"New Zealand",87.2,51.61,0.49,7.13
1990,"New Zealand",83.2,52.68,0.67,7.97
1991,"New Zealand",83.2,49.7,-1.9,10.6
1992,"New Zealand",83.2,48.94,0.88,10.62
1993,"New Zealand",82.8,45.24,4.7,9.75
1994,"New Zealand",82.8,42.84,6.21,8.36
1995,"New Zealand",82.8,41.93,4.36,6.43
1996,"New Zealand",88.8,40.83,3.39,6.3
1997,"New Zealand",88.8,41.64,2.88,6.87
1998,"New Zealand",88.8,40.62,0.56,7.7
1999,"New Zealand",84.8,40.24,4.71,7.05
2000,"New Zealand",84.8,38.25,3.74,6.15
2001,"New Zealand",84.8,37.81,2.48,5.43
2002,"New Zealand",77,36.94,4.59,5.27
2003,"New Zealand",77,37.53,4.42,4.77
2004,"New Zealand",77,37.11,4.07,4.03
2005,"New Zealand",77,38.25,3.18,3.83
2006,"New Zealand",77,39.6,2.02,3.83
2007,"New Zealand",77,39.65,3.39,3.68
2008,"New Zealand",75.1,41.87,-0.68,4.16
2009,"New Zealand",75.1,42.85,-0.11,6.16
2010,"New Zealand",75.1,43.2,2.4,6.52
1960,"Norway",78.3,NA,NA,1.2
1961,"Norway",79.1,NA,6.27,0.91
1962,"Norway",79.1,30.57,2.81,1.05
1963,"Norway",79.1,31.92,3.79,1.25
1964,"Norway",79.1,31.95,5.01,1.11
1965,"Norway",85.4,32.95,5.29,0.9
1966,"Norway",85.4,33.45,3.79,0.82
1967,"Norway",85.4,34.9,6.26,0.75
1968,"Norway",85.4,36.21,2.26,1.15
1969,"Norway",83.8,38,4.5,1.07
1970,"Norway",83.8,38.91,2,0.8
1971,"Norway",83.8,40.74,5.13,0.79
1972,"Norway",83.8,42.25,5.09,1.68
1973,"Norway",80.2,42.26,4.41,1.56
1974,"Norway",80.2,42.2,4.19,1.49
1975,"Norway",80.2,43.54,5.23,2.3
1976,"Norway",80.2,45.25,5.86,1.77
1977,"Norway",82.9,46.53,4.27,1.47
1978,"Norway",82.9,47.93,3.49,1.81
1979,"Norway",82.9,47.18,4.36,2
1980,"Norway",82.9,46.13,4.5,1.68
1981,"Norway",82,46.08,1.55,2.06
1982,"Norway",82,46.6,0.13,2.65
1983,"Norway",82,46.36,3.87,3.49
1984,"Norway",82,44.46,5.89,3.2
1985,"Norway",84,44,5.35,2.6
1986,"Norway",84,48.13,4.04,2
1987,"Norway",84,50.47,1.78,2.11
1988,"Norway",84,52.61,-0.17,3.21
1989,"Norway",83.2,52.16,1,5
1990,"Norway",83.2,54.01,1.93,5.32
1991,"Norway",83.2,54.94,3.11,5.55
1992,"Norway",83.2,56.28,3.52,6.01
1993,"Norway",75.8,55.13,2.79,6.06
1994,"Norway",75.8,54.07,5.05,5.47
1995,"Norway",75.8,50.94,4.19,4.97
1996,"Norway",75.8,48.5,5.1,4.88
1997,"Norway",78.3,46.83,5.39,4.07
1998,"Norway",78.3,49.08,2.68,3.23
1999,"Norway",78.3,47.69,2.03,3.25
2000,"Norway",78.3,42.3,3.25,3.48
2001,"Norway",75.5,44.11,1.99,3.59
2002,"Norway",75.5,47.06,1.5,3.9
2003,"Norway",75.5,48.16,0.98,4.54
2004,"Norway",75.5,45.13,3.96,4.48
2005,"Norway",77.4,41.8,2.59,4.64
2006,"Norway",77.4,40.04,2.45,3.46
2007,"Norway",77.4,40.34,2.65,2.53
2008,"Norway",77.4,39.77,0.04,2.6
2009,"Norway",76.4,46.72,-1.67,3.19
2010,"Norway",76.4,45.5,0.68,3.63
1960,"Portugal",NA,NA,NA,1.91
1961,"Portugal",NA,NA,5.47,2.28
1962,"Portugal",NA,NA,6.65,2.55
1963,"Portugal",NA,NA,5.92,2.56
1964,"Portugal",NA,NA,6.57,2.57
1965,"Portugal",NA,NA,7.48,2.64
1966,"Portugal",NA,NA,4.08,2.63
1967,"Portugal",NA,NA,7.54,2.61
1968,"Portugal",NA,NA,8.88,2.65
1969,"Portugal",NA,NA,2.12,2.66
1970,"Portugal",NA,NA,9.11,2.65
1971,"Portugal",NA,NA,6.63,2.63
1972,"Portugal",NA,NA,8.02,2.64
1973,"Portugal",NA,NA,11.2,2.67
1974,"Portugal",NA,NA,1.14,1.78
1975,"Portugal",91.7,NA,-4.35,4.56
1976,"Portugal",83.3,NA,6.9,6.42
1977,"Portugal",83.3,28.33,5.6,7.55
1978,"Portugal",83.3,30.82,2.82,8.13
1979,"Portugal",87.5,30.28,5.64,8.19
1980,"Portugal",85.4,32.68,4.59,7.84
1981,"Portugal",85.4,36.16,1.62,7.55
1982,"Portugal",85.4,35.57,2.14,7.47
1983,"Portugal",78.6,35.47,-0.17,7.92
1984,"Portugal",78.6,35.43,-1.88,8.55
1985,"Portugal",75.4,36.79,2.81,8.67
1986,"Portugal",75.4,37.86,4.14,8.59
1987,"Portugal",72.6,37.14,6.38,7.1
1988,"Portugal",72.6,36.01,7.49,5.77
1989,"Portugal",72.6,36.08,6.44,5.05
1990,"Portugal",72.6,38.86,3.95,4.61
1991,"Portugal",68.2,41.67,4.37,4.32
1992,"Portugal",68.2,42.72,1.09,4.08
1993,"Portugal",68.2,44.23,-2.04,5.48
1994,"Portugal",68.2,42.77,0.96,6.82
1995,"Portugal",66.3,41.88,4.28,7.15
1996,"Portugal",66.3,42.4,3.69,7.23
1997,"Portugal",66.3,41.56,4.41,6.72
1998,"Portugal",66.3,41.44,5.14,4.98
1999,"Portugal",61.8,41.48,4.07,4.43
2000,"Portugal",61.8,41.62,3.92,3.96
2001,"Portugal",61.8,43.16,1.97,4.04
2002,"Portugal",61.5,43.06,0.76,5.03
2003,"Portugal",61.5,44.68,-0.91,6.31
2004,"Portugal",61.5,45.42,1.56,6.69
2005,"Portugal",64.3,46.56,0.78,7.66
2006,"Portugal",64.3,45.22,1.45,7.7
2007,"Portugal",64.3,44.36,2.37,8.03
2008,"Portugal",64.3,44.8,-0.01,7.64
2009,"Portugal",59.7,49.76,-2.91,9.52
2010,"Portugal",59.7,51.26,1.4,10.85
1960,"Spain",NA,NA,NA,1.5
1961,"Spain",NA,NA,12.54,1.48
1962,"Spain",NA,NA,10.01,1.2
1963,"Spain",NA,NA,9.45,1.34
1964,"Spain",NA,20.73,5.27,1.54
1965,"Spain",NA,21.62,6.25,1.51
1966,"Spain",NA,21.41,7.25,1.36
1967,"Spain",NA,22.59,4.34,1.88
1968,"Spain",NA,22.74,6.6,1.93
1969,"Spain",NA,22.77,8.91,1.47
1970,"Spain",NA,23.34,4.25,1.53
1971,"Spain",NA,25.09,4.65,2.01
1972,"Spain",NA,24.38,8.15,3.03
1973,"Spain",NA,24,7.8,2.75
1974,"Spain",NA,24.46,5.62,3.25
1975,"Spain",NA,26.07,0.54,4.69
1976,"Spain",NA,27.3,3.3,4.6
1977,"Spain",77,28.83,2.84,5.23
1978,"Spain",77,30.86,1.46,7
1979,"Spain",68.1,31.81,0.04,8.71
1980,"Spain",68.1,33.91,1.3,11.51
1981,"Spain",68.1,36.67,-0.13,14.16
1982,"Spain",79.8,38.78,1.25,15.99
1983,"Spain",79.8,39.77,1.77,17.45
1984,"Spain",79.8,40.06,1.78,20.21
1985,"Spain",79.8,42.71,2.32,21.6
1986,"Spain",70.6,42.21,3.25,21.13
1987,"Spain",70.6,40.57,5.55,20.33
1988,"Spain",70.6,40.42,5.09,19.34
1989,"Spain",70,41.7,4.83,17.32
1990,"Spain",70,42.87,3.78,16.32
1991,"Spain",70,44.36,2.54,16.4
1992,"Spain",70,45.42,0.93,18.46
1993,"Spain",76.4,49.01,-1.03,22.78
1994,"Spain",76.4,46.75,2.38,24.17
1995,"Spain",76.4,44.46,2.76,22.96
1996,"Spain",77.4,43.23,2.42,22.15
1997,"Spain",77.4,41.65,3.87,20.67
1998,"Spain",77.4,41.09,4.47,18.67
1999,"Spain",77.4,39.93,4.75,15.69
2000,"Spain",68.7,39.19,5.05,13.92
2001,"Spain",68.7,38.66,3.67,10.6
2002,"Spain",68.7,38.91,2.71,11.52
2003,"Spain",68.7,38.41,3.09,11.52
2004,"Spain",75.7,38.89,3.26,11
2005,"Spain",75.7,38.44,3.58,9.19
2006,"Spain",75.7,38.35,4.08,8.54
2007,"Spain",75.7,39.21,3.48,8.29
2008,"Spain",73.9,41.46,0.89,11.38
2009,"Spain",73.9,46.26,-3.74,18.09
2010,"Spain",73.9,45.62,-0.07,20.15
1960,"Sweden",85.9,32.61,NA,1.72
1961,"Sweden",85.9,32.4,5.68,1.49
1962,"Sweden",85.9,33.46,4.26,1.48
1963,"Sweden",85.9,35.82,5.33,1.67
1964,"Sweden",83.9,36.03,6.82,1.56
1965,"Sweden",83.9,36.75,3.82,1.18
1966,"Sweden",83.9,38.8,2.09,1.56
1967,"Sweden",83.9,40.51,3.37,2.12
1968,"Sweden",89.3,42.73,3.64,2.22
1969,"Sweden",89.3,42.84,5.01,1.89
1970,"Sweden",88.3,43.01,6.47,1.51
1971,"Sweden",88.3,45.71,0.94,2.55
1972,"Sweden",88.3,46.18,2.29,2.7
1973,"Sweden",90.8,43.57,3.97,2.46
1974,"Sweden",90.8,45.86,3.2,1.98
1975,"Sweden",90.8,46.28,2.55,1.62
1976,"Sweden",91.8,49.7,1.06,1.71
1977,"Sweden",91.8,56.62,-1.6,1.96
1978,"Sweden",91.8,58.48,1.75,2.46
1979,"Sweden",90.7,59.7,3.84,2.27
1980,"Sweden",90.7,62.65,1.7,2.22
1981,"Sweden",90.7,62.85,-0.2,2.77
1982,"Sweden",91.4,64.97,1.19,3.53
1983,"Sweden",91.4,64.9,1.81,3.89
1984,"Sweden",91.4,62.31,4.27,3.49
1985,"Sweden",89.9,63.18,2.19,3.09
1986,"Sweden",89.9,60.74,2.86,2.89
1987,"Sweden",89.9,58.54,3.46,2.31
1988,"Sweden",86,58.03,2.67,1.88
1989,"Sweden",86,59.97,2.78,1.62
1990,"Sweden",86,59.77,1.01,1.81
1991,"Sweden",86.7,61.14,-1.12,3.26
1992,"Sweden",86.7,69.39,-1.2,5.83
1993,"Sweden",86.7,70.54,-2.06,9.48
1994,"Sweden",86.8,68.34,3.88,9.78
1995,"Sweden",86.8,64.95,4.16,9.22
1996,"Sweden",86.8,62.92,1.63,9.98
1997,"Sweden",86.8,60.66,2.91,10.19
1998,"Sweden",81.4,58.78,4.11,8.47
1999,"Sweden",81.4,58.11,4.4,7.17
2000,"Sweden",81.4,55.09,4.6,5.86
2001,"Sweden",81.4,54.52,1.41,5.06
2002,"Sweden",80.1,55.6,2.5,5.21
2003,"Sweden",80.1,55.67,2.48,5.85
2004,"Sweden",80.1,54.18,3.72,6.63
2005,"Sweden",80.1,53.85,3.15,7.78
2006,"Sweden",82,52.71,4.55,7.07
2007,"Sweden",82,50.95,3.43,6.16
2008,"Sweden",82,51.74,-0.77,6.23
2009,"Sweden",82,54.94,-4.98,8.31
2010,"Sweden",84.6,52.48,5.85,8.38
1960,"Switzerland",68.5,NA,NA,0.05
1961,"Switzerland",68.5,NA,8.35,0.02
1962,"Switzerland",68.5,NA,5.02,0.02
1963,"Switzerland",64.5,NA,4.96,0.03
1964,"Switzerland",64.5,NA,5.1,0.01
1965,"Switzerland",64.5,NA,3.06,0.01
1966,"Switzerland",64.5,NA,2.41,0.01
1967,"Switzerland",63.8,NA,3,0.01
1968,"Switzerland",63.8,NA,3.7,0.01
1969,"Switzerland",63.8,NA,5.61,0.01
1970,"Switzerland",63.8,NA,6.36,0
1971,"Switzerland",56.4,NA,4.08,0
1972,"Switzerland",56.4,NA,3.2,0
1973,"Switzerland",56.4,NA,3.05,0
1974,"Switzerland",56.4,NA,1.45,0.01
1975,"Switzerland",52.4,NA,-7.28,0.32
1976,"Switzerland",52.4,NA,-1.4,0.69
1977,"Switzerland",52.4,NA,2.43,0.39
1978,"Switzerland",52.4,NA,0.41,0.33
1979,"Switzerland",48.1,NA,2.49,0.32
1980,"Switzerland",48.1,NA,4.6,0.19
1981,"Switzerland",48.1,NA,1.6,0.18
1982,"Switzerland",48.1,NA,-1.31,0.4
1983,"Switzerland",48.9,NA,0.64,0.85
1984,"Switzerland",48.9,NA,3.01,1.05
1985,"Switzerland",48.9,NA,3.67,0.89
1986,"Switzerland",48.9,NA,1.86,0.75
1987,"Switzerland",46.2,NA,1.59,0.71
1988,"Switzerland",46.2,NA,3.28,0.61
1989,"Switzerland",46.2,NA,4.33,0.46
1990,"Switzerland",46.2,30.3,3.67,0.47
1991,"Switzerland",46,32.12,-0.95,1.64
1992,"Switzerland",46,34.23,0.1,2.7
1993,"Switzerland",46,35.12,-0.19,3.64
1994,"Switzerland",46,35.19,1.19,3.64
1995,"Switzerland",42.2,35,0.35,3.16
1996,"Switzerland",42.2,35.29,0.63,3.46
1997,"Switzerland",42.2,35.52,2.08,3.93
1998,"Switzerland",42.2,35.77,2.64,3.32
1999,"Switzerland",43.3,34.3,1.31,2.81
2000,"Switzerland",43.3,35.1,3.58,2.54
2001,"Switzerland",43.3,34.78,1.15,2.24
2002,"Switzerland",43.3,36.16,0.44,2.87
2003,"Switzerland",45.2,36.39,-0.2,3.88
2004,"Switzerland",45.2,35.95,2.53,4.15
2005,"Switzerland",45.2,35.27,2.64,4.16
2006,"Switzerland",45.2,33.48,3.63,3.78
2007,"Switzerland",48.3,32.32,3.64,3.42
2008,"Switzerland",48.3,32.37,2.1,3.19
2009,"Switzerland",48.3,34.15,-1.88,4.06
2010,"Switzerland",48.3,34.17,2.71,4.24
1960,"UK",78.7,NA,NA,1.36
1961,"UK",78.7,NA,2.33,1.18
1962,"UK",78.7,NA,1.08,1.65
1963,"UK",78.7,NA,4.3,2.01
1964,"UK",77.2,NA,5.48,1.4
1965,"UK",77.2,NA,2.23,1.19
1966,"UK",76,NA,1.92,1.11
1967,"UK",76,NA,2.47,2.01
1968,"UK",76,NA,4.2,2.17
1969,"UK",76,NA,2.07,2.07
1970,"UK",72.2,40.54,2.24,2.23
1971,"UK",72.2,39.97,2.1,2.8
1972,"UK",72.2,41.58,3.65,3.12
1973,"UK",72.2,42.23,7.2,2.2
1974,"UK",72.9,46.33,-1.31,2.08
1975,"UK",72.9,47.83,-0.62,3.28
1976,"UK",72.9,47.45,2.64,4.91
1977,"UK",72.9,44.71,2.37,5.25
1978,"UK",72.9,44.34,3.23,5.16
1979,"UK",76.3,43.37,2.68,4.69
1980,"UK",76.3,45.59,-2.08,5.71
1981,"UK",76.3,48.94,-1.32,9.07
1982,"UK",76.3,47.87,2.09,10.51
1983,"UK",72.8,47.7,3.62,11.35
1984,"UK",72.8,47.89,2.67,11.88
1985,"UK",72.8,46.47,3.6,11.32
1986,"UK",72.8,45.32,4.01,10.78
1987,"UK",75.4,43.24,4.56,10.85
1988,"UK",75.4,41.11,5.03,8.81
1989,"UK",75.4,40.4,2.28,7.25
1990,"UK",75.4,41.48,0.78,6.86
1991,"UK",75.4,43.24,-1.39,8.4
1992,"UK",77.8,45.25,0.15,9.7
1993,"UK",77.8,45.27,2.22,10.33
1994,"UK",77.8,44.59,4.28,9.61
1995,"UK",77.8,44.08,3.05,8.63
1996,"UK",77.8,42.18,2.89,8.14
1997,"UK",71.6,40.64,3.42,7.05
1998,"UK",71.6,39.52,3.84,6.13
1999,"UK",71.6,38.83,3.66,5.98
2000,"UK",71.6,36.53,4.46,5.5
2001,"UK",59.4,39.81,3.15,4.76
2002,"UK",59.4,40.85,2.66,5.09
2003,"UK",59.4,42.32,3.52,4.86
2004,"UK",59.4,43.05,2.96,4.71
2005,"UK",61.8,43.98,2.09,4.68
2006,"UK",61.8,44.18,2.61,5.42
2007,"UK",61.8,43.93,3.47,5.3
2008,"UK",61.8,47.87,-1.1,5.31
2009,"UK",61.8,51.09,-4.37,7.74
2010,"UK",65.8,50.39,2.09,7.8
1960,"USA",61,28.29,NA,5.53
1961,"USA",61,29.62,2.33,6.69
1962,"USA",47.5,29.71,6.06,5.54
1963,"USA",47.5,29.52,4.37,5.67
1964,"USA",59.7,28.94,5.79,5.18
1965,"USA",59.7,28.44,6.42,4.52
1966,"USA",46.6,29.41,6.51,3.79
1967,"USA",46.6,31.33,2.53,3.85
1968,"USA",56.9,31.63,4.84,3.58
1969,"USA",56.9,31.27,3.11,3.51
1970,"USA",46.1,32.3,0.19,4.94
1971,"USA",46.1,32.49,3.36,5.94
1972,"USA",53.2,32.29,5.31,5.61
1973,"USA",53.2,31.33,5.79,4.88
1974,"USA",37.8,32.68,-0.55,5.61
1975,"USA",37.8,35.14,-0.21,8.46
1976,"USA",51.6,33.97,5.37,7.7
1977,"USA",51.6,33.08,4.6,7.06
1978,"USA",37,32.3,5.58,6.07
1979,"USA",37,32.28,3.12,5.85
1980,"USA",50,34.28,-0.27,7.14
1981,"USA",50,34.65,2.54,7.61
1982,"USA",40.3,36.99,-1.94,9.69
1983,"USA",40.3,37.08,4.52,9.61
1984,"USA",51.2,36.16,7.19,7.52
1985,"USA",51.2,36.92,4.14,7.2
1986,"USA",36.2,37.37,3.46,6.99
1987,"USA",36.2,37.17,3.2,6.19
1988,"USA",48.2,36.28,4.11,5.51
1989,"USA",48.2,36.24,3.57,5.27
1990,"USA",35,37.2,1.88,5.6
1991,"USA",35,37.97,-0.23,6.83
1992,"USA",52.5,38.65,3.39,7.5
1993,"USA",52.5,38.1,2.85,6.92
1994,"USA",38,37.11,4.07,6.1
1995,"USA",38,37.08,2.51,5.6
1996,"USA",46,36.55,3.74,5.4
1997,"USA",46,35.44,4.46,4.94
1998,"USA",35.3,34.62,4.36,4.51
1999,"USA",35.3,34.2,4.74,4.22
2000,"USA",50,33.88,4.14,3.99
2001,"USA",50,34.99,1.08,4.73
2002,"USA",36.3,35.91,1.81,5.78
2003,"USA",36.3,36.31,2.54,5.99
2004,"USA",51.2,36.04,3.47,5.53
2005,"USA",51.2,36.29,3.07,5.08
2006,"USA",35.8,36.07,2.66,4.62
2007,"USA",35.8,36.9,1.91,4.62
2008,"USA",53.2,39.12,-0.34,5.78
2009,"USA",53.2,42.66,-3.49,9.25
2010,"USA",39.8,42.45,3.03,9.63
