"player","games_played","minutes","field_goals_made","field_goals_atts","field_goals_perc","points3_made","points3_atts","points3_perc","points2_made","points2_atts","points2_perc","points1_made","points1_atts","points1_perc","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls"
"Al Horford",68,2193,379,801,0.473,86,242,0.355,293,559,0.524,108,135,0.8,95,369,337,52,87,116,138
"Amir Johnson",80,1608,213,370,0.576,27,66,0.409,186,304,0.612,67,100,0.67,117,248,140,52,62,77,211
"Avery Bradley",55,1835,359,775,0.463,108,277,0.39,251,498,0.504,68,93,0.731,65,269,121,68,11,88,141
"Demetrius Jackson",5,17,3,4,0.75,1,1,1,2,3,0.667,3,6,0.5,2,2,3,0,0,0,0
"Gerald Green",47,538,95,232,0.409,39,111,0.351,56,121,0.463,33,41,0.805,17,68,33,9,7,25,48
"Isaiah Thomas",76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,590,649,0.909,43,162,449,70,13,210,167
"Jae Crowder",72,2335,333,720,0.463,157,394,0.398,176,326,0.54,176,217,0.811,48,367,155,72,23,79,161
"James Young",29,220,25,58,0.431,12,35,0.343,13,23,0.565,6,9,0.667,6,20,4,10,2,4,15
"Jaylen Brown",78,1341,192,423,0.454,46,135,0.341,146,288,0.507,85,124,0.685,45,175,64,35,18,68,142
"Jonas Jerebko",78,1232,114,262,0.435,45,130,0.346,69,132,0.523,26,37,0.703,60,213,71,26,17,39,122
"Jordan Mickey",25,141,15,34,0.441,0,1,0,15,33,0.455,8,14,0.571,13,21,7,3,6,9,12
"Kelly Olynyk",75,1538,260,508,0.512,68,192,0.354,192,316,0.608,90,123,0.732,72,288,148,43,29,96,207
"Marcus Smart",79,2399,269,749,0.359,94,332,0.283,175,417,0.42,203,250,0.812,78,228,364,125,34,159,192
"Terry Rozier",74,1263,151,411,0.367,57,179,0.318,94,232,0.405,51,66,0.773,40,187,131,45,11,47,69
"Tyler Zeller",51,525,78,158,0.494,0,1,0,78,157,0.497,22,39,0.564,43,81,42,7,21,20,61
"Channing Frye",74,1398,238,520,0.458,137,335,0.409,101,185,0.546,63,74,0.851,37,253,45,33,37,53,138
"Dahntay Jones",1,12,3,8,0.375,0,2,0,3,6,0.5,3,4,0.75,1,1,1,0,0,1,1
"Deron Williams",24,486,68,147,0.463,22,53,0.415,46,94,0.489,21,25,0.84,1,44,86,6,6,40,42
"Derrick Williams",25,427,54,107,0.505,21,52,0.404,33,55,0.6,27,39,0.692,3,54,14,5,2,14,27
"Edy Tavares",1,24,3,4,0.75,0,0,NA,3,4,0.75,0,1,0,4,6,1,0,6,2,3
"Iman Shumpert",76,1937,201,489,0.411,94,261,0.36,107,228,0.469,71,90,0.789,39,180,109,62,27,78,150
"J.R. Smith",41,1187,123,356,0.346,95,271,0.351,28,85,0.329,10,15,0.667,17,96,62,40,11,26,77
"James Jones",48,381,44,92,0.478,31,66,0.47,13,26,0.5,13,20,0.65,3,35,14,7,10,10,37
"Kay Felder",42,386,62,158,0.392,7,22,0.318,55,136,0.404,35,49,0.714,3,38,58,18,7,31,38
"Kevin Love",60,1885,370,867,0.427,145,389,0.373,225,478,0.471,257,295,0.871,148,518,116,53,22,122,125
"Kyle Korver",35,859,131,269,0.487,97,200,0.485,34,69,0.493,14,15,0.933,7,90,35,11,8,29,60
"Kyrie Irving",72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,297,328,0.905,52,178,418,83,25,180,157
"LeBron James",74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,358,531,0.674,97,543,646,92,44,303,134
"Richard Jefferson",79,1614,153,343,0.446,62,186,0.333,91,157,0.58,80,108,0.741,28,174,78,26,10,52,153
"Tristan Thompson",78,2336,262,437,0.6,0,3,0,262,434,0.604,106,213,0.498,287,429,77,39,84,64,176
"Bruno Caboclo",9,40,6,16,0.375,2,6,0.333,4,10,0.4,0,0,NA,5,5,4,2,1,2,4
"Cory Joseph",80,2003,299,661,0.452,48,135,0.356,251,526,0.477,94,122,0.77,52,184,265,66,13,109,140
"Delon Wright",27,446,49,116,0.422,10,30,0.333,39,86,0.453,42,55,0.764,16,32,57,27,11,25,31
"DeMar DeRozan",74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,545,647,0.842,70,316,290,78,13,180,134
"DeMarre Carroll",72,1882,220,549,0.401,109,320,0.341,111,229,0.485,89,117,0.761,63,212,74,81,27,54,143
"Fred VanVleet",37,294,39,111,0.351,11,29,0.379,28,82,0.341,18,22,0.818,4,38,35,17,2,15,36
"Jakob Poeltl",54,626,67,115,0.583,0,0,NA,67,115,0.583,31,57,0.544,78,87,12,18,20,29,113
"Jonas Valanciunas",80,2066,391,702,0.557,1,2,0.5,390,700,0.557,176,217,0.811,226,533,57,37,63,106,216
"Kyle Lowry",60,2244,426,918,0.464,193,468,0.412,233,450,0.518,299,365,0.819,48,239,417,88,19,173,170
"Lucas Nogueira",57,1088,103,156,0.66,3,12,0.25,100,144,0.694,44,67,0.657,82,161,42,52,90,46,137
"Norman Powell",76,1368,227,506,0.449,56,173,0.324,171,333,0.514,126,159,0.792,26,142,82,51,14,70,127
"P.J. Tucker",24,609,52,128,0.406,24,60,0.4,28,68,0.412,11,16,0.688,23,106,26,31,5,14,53
"Pascal Siakam",55,859,103,205,0.502,1,7,0.143,102,198,0.515,22,32,0.688,64,122,17,26,45,33,109
"Patrick Patterson",65,1599,154,384,0.401,94,253,0.372,60,131,0.458,43,60,0.717,62,229,76,40,23,38,120
"Serge Ibaka",23,712,128,279,0.459,41,103,0.398,87,176,0.494,30,34,0.882,29,127,15,7,33,39,76
"Bojan Bogdanovic",26,601,107,234,0.457,45,115,0.391,62,119,0.521,71,76,0.934,14,66,21,10,4,38,47
"Bradley Beal",77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,282,342,0.825,53,186,267,83,21,157,169
"Brandon Jennings",23,374,29,106,0.274,11,52,0.212,18,54,0.333,12,17,0.706,8,36,108,15,0,22,32
"Chris McCullough",2,8,0,1,0,0,1,0,0,0,NA,1,2,0.5,0,2,0,1,0,1,0
"Daniel Ochefu",19,75,12,27,0.444,0,0,NA,12,27,0.444,0,2,0,5,17,3,2,0,3,17
"Ian Mahinmi",31,555,65,111,0.586,0,0,NA,65,111,0.586,43,75,0.573,47,103,19,33,24,34,90
"Jason Smith",74,1068,174,329,0.529,37,78,0.474,137,251,0.546,35,51,0.686,64,194,37,21,55,58,168
"John Wall",78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,422,527,0.801,58,268,831,157,49,323,151
"Marcin Gortat",82,2556,390,674,0.579,0,2,0,390,672,0.58,103,159,0.648,238,611,121,40,65,118,213
"Markieff Morris",76,2374,406,889,0.457,71,196,0.362,335,693,0.483,180,215,0.837,107,385,126,82,42,129,254
"Otto Porter",80,2605,414,803,0.516,148,341,0.434,266,462,0.576,99,119,0.832,118,397,121,116,41,43,193
"Sheldon McClellan",30,287,30,75,0.4,7,30,0.233,23,45,0.511,23,27,0.852,4,30,15,8,2,5,17
"Tomas Satoransky",57,719,61,146,0.418,9,37,0.243,52,109,0.477,23,33,0.697,25,58,92,26,6,38,60
"Trey Burke",57,703,116,255,0.455,31,70,0.443,85,185,0.459,22,29,0.759,7,40,100,11,5,48,54
"DeAndre' Bembry",38,371,47,98,0.48,1,18,0.056,46,80,0.575,6,16,0.375,14,45,28,8,5,16,21
"Dennis Schroder",79,2485,548,1215,0.451,100,294,0.34,448,921,0.486,218,255,0.855,42,206,499,74,16,258,149
"Dwight Howard",74,2199,388,613,0.633,0,2,0,388,611,0.635,226,424,0.533,296,644,104,64,92,170,203
"Ersan Ilyasova",26,633,93,226,0.412,32,92,0.348,61,134,0.455,52,65,0.8,42,109,43,22,8,34,73
"Jose Calderon",17,247,23,57,0.404,8,30,0.267,15,27,0.556,7,8,0.875,7,25,37,4,0,15,14
"Kent Bazemore",73,1963,295,721,0.409,92,266,0.346,203,455,0.446,119,168,0.708,45,186,177,91,52,125,165
"Kris Humphries",56,689,87,214,0.407,19,54,0.352,68,160,0.425,64,82,0.78,60,146,29,15,21,28,69
"Malcolm Delaney",73,1248,145,388,0.374,26,110,0.236,119,278,0.428,75,93,0.806,11,113,193,39,1,95,112
"Mike Dunleavy",30,475,57,130,0.438,33,77,0.429,24,53,0.453,22,26,0.846,13,55,30,9,5,14,35
"Mike Muscala",70,1237,170,337,0.504,46,110,0.418,124,227,0.546,49,64,0.766,76,164,95,30,41,55,97
"Paul Millsap",69,2343,430,972,0.442,75,241,0.311,355,731,0.486,311,405,0.768,111,422,252,90,62,158,186
"Ryan Kelly",16,110,8,28,0.286,4,10,0.4,4,18,0.222,5,6,0.833,1,17,8,4,5,4,5
"Thabo Sefolosha",62,1596,174,395,0.441,41,120,0.342,133,275,0.484,55,75,0.733,54,216,107,96,31,58,97
"Tim Hardaway",79,2154,415,912,0.455,149,417,0.357,266,495,0.537,164,214,0.766,35,189,182,55,15,106,103
"Giannis Antetokounmpo",80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,471,612,0.77,142,558,434,131,151,234,246
"Greg Monroe",81,1823,387,726,0.533,0,4,0,387,722,0.536,177,239,0.741,167,365,187,92,38,140,168
"Jabari Parker",51,1728,399,814,0.49,65,178,0.365,334,636,0.525,162,218,0.743,79,235,142,51,22,92,111
"Jason Terry",74,1365,105,243,0.432,73,171,0.427,32,72,0.444,24,29,0.828,15,91,98,45,20,36,95
"John Henson",58,1123,159,309,0.515,0,1,0,159,308,0.516,74,107,0.692,92,203,57,29,78,53,151
"Khris Middleton",29,889,150,333,0.45,45,104,0.433,105,229,0.459,81,92,0.88,11,112,99,41,7,65,79
"Malcolm Brogdon",75,1982,290,635,0.457,78,193,0.404,212,442,0.48,109,126,0.865,47,166,317,84,12,113,140
"Matthew Dellavedova",76,1986,208,534,0.39,79,215,0.367,129,319,0.404,82,96,0.854,24,123,357,53,0,133,153
"Michael Beasley",56,935,216,406,0.532,18,43,0.419,198,363,0.545,78,105,0.743,40,153,53,28,27,66,92
"Mirza Teletovic",70,1133,156,418,0.373,104,305,0.341,52,113,0.46,35,45,0.778,11,151,48,12,13,37,109
"Rashad Vaughn",41,458,57,156,0.365,26,81,0.321,31,75,0.413,2,5,0.4,4,45,23,19,10,14,32
"Spencer Hawes",19,171,30,59,0.508,9,26,0.346,21,33,0.636,14,18,0.778,6,39,19,2,4,9,16
"Thon Maker",57,562,83,181,0.459,28,74,0.378,55,107,0.514,32,49,0.653,40,74,23,10,26,17,84
"Tony Snell",80,2336,246,541,0.455,144,355,0.406,102,186,0.548,47,58,0.81,22,226,96,54,14,55,125
"Aaron Brooks",65,894,121,300,0.403,48,128,0.375,73,172,0.424,32,40,0.8,18,51,125,25,9,66,93
"Al Jefferson",66,931,235,471,0.499,0,1,0,235,470,0.5,65,85,0.765,75,203,57,19,16,33,125
"C.J. Miles",76,1776,281,647,0.434,169,409,0.413,112,238,0.471,84,93,0.903,30,199,48,46,25,40,151
"Georges Niang",23,93,9,36,0.25,1,12,0.083,8,24,0.333,2,2,1,2,15,5,3,0,5,6
"Jeff Teague",82,2657,402,909,0.442,90,252,0.357,312,657,0.475,360,415,0.867,33,298,639,100,32,216,165
"Joe Young",33,135,26,72,0.361,5,23,0.217,21,49,0.429,11,15,0.733,1,16,15,4,0,5,5
"Kevin Seraphin",49,559,109,198,0.551,0,2,0,109,196,0.556,14,22,0.636,41,101,23,7,20,29,66
"Lance Stephenson",6,132,18,44,0.409,5,8,0.625,13,36,0.361,2,3,0.667,1,23,25,3,2,11,12
"Lavoy Allen",61,871,77,168,0.458,0,1,0,77,167,0.461,23,33,0.697,105,115,57,18,24,29,78
"Monta Ellis",74,1998,247,557,0.443,43,135,0.319,204,422,0.483,93,128,0.727,19,185,236,79,27,135,149
"Myles Turner",81,2541,444,869,0.511,40,115,0.348,404,754,0.536,245,303,0.809,139,448,106,74,173,105,262
"Paul George",75,2689,622,1349,0.461,195,496,0.393,427,853,0.501,336,374,0.898,58,434,251,117,27,218,206
"Rakeem Christmas",29,219,19,43,0.442,0,0,NA,19,43,0.442,21,29,0.724,26,30,4,3,6,8,37
"Thaddeus Young",74,2237,362,687,0.527,45,118,0.381,317,569,0.557,45,86,0.523,131,318,122,114,30,96,135
"Anthony Morrow",9,87,12,29,0.414,6,14,0.429,6,15,0.4,11,11,1,1,1,6,2,0,0,4
"Bobby Portis",64,1000,183,375,0.488,32,96,0.333,151,279,0.541,39,59,0.661,75,220,35,16,11,37,94
"Cameron Payne",11,142,21,63,0.333,11,34,0.324,10,29,0.345,1,4,0.25,1,16,15,4,0,13,14
"Cristiano Felicio",66,1040,128,222,0.577,0,0,NA,128,222,0.577,60,93,0.645,124,187,40,25,16,33,110
"Denzel Valentine",57,976,102,288,0.354,73,208,0.351,29,80,0.363,14,18,0.778,11,140,63,30,7,49,86
"Dwyane Wade",60,1792,414,955,0.434,45,145,0.31,369,810,0.456,223,281,0.794,64,207,229,86,41,138,112
"Isaiah Canaan",39,592,63,173,0.364,25,94,0.266,38,79,0.481,30,33,0.909,6,43,37,22,1,20,35
"Jerian Grant",63,1028,128,301,0.425,49,134,0.366,79,167,0.473,65,73,0.89,17,94,120,47,8,44,93
"Jimmy Butler",76,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,585,676,0.865,128,342,417,143,32,159,112
"Joffrey Lauvergne",20,241,37,92,0.402,6,20,0.3,31,72,0.431,9,15,0.6,21,47,19,7,0,16,12
"Michael Carter-Williams",45,846,112,306,0.366,15,64,0.234,97,242,0.401,58,77,0.753,24,128,113,38,23,66,102
"Nikola Mirotic",70,1679,258,625,0.413,129,377,0.342,129,248,0.52,99,128,0.773,61,323,75,53,56,79,128
"Paul Zipser",44,843,88,221,0.398,33,99,0.333,55,122,0.451,31,40,0.775,15,110,36,15,16,40,78
"Rajon Rondo",69,1843,229,561,0.408,50,133,0.376,179,428,0.418,30,50,0.6,73,282,461,99,11,168,144
"Robin Lopez",81,2271,382,775,0.493,0,2,0,382,773,0.494,75,104,0.721,244,276,80,18,117,90,151
"Dion Waiters",46,1384,281,663,0.424,85,215,0.395,196,448,0.438,82,127,0.646,18,136,200,41,20,103,95
"Goran Dragic",73,2459,534,1124,0.475,117,289,0.405,417,835,0.499,298,377,0.79,61,217,423,89,13,212,199
"Hassan Whiteside",77,2513,542,973,0.557,0,0,NA,542,973,0.557,225,358,0.628,293,795,57,56,161,154,226
"James Johnson",76,2085,368,769,0.479,87,256,0.34,281,513,0.548,152,215,0.707,66,309,276,76,86,171,197
"Josh McRoberts",22,381,44,118,0.373,13,31,0.419,31,87,0.356,6,9,0.667,23,51,50,10,4,23,31
"Josh Richardson",53,1614,202,513,0.394,75,227,0.33,127,286,0.444,60,77,0.779,35,133,140,60,39,65,132
"Justise Winslow",18,625,80,225,0.356,7,35,0.2,73,190,0.384,29,47,0.617,23,71,66,27,6,33,52
"Luke Babbitt",68,1065,113,281,0.402,87,210,0.414,26,71,0.366,11,15,0.733,13,129,36,21,11,25,118
"Okaro White",35,471,33,87,0.379,12,34,0.353,21,53,0.396,20,22,0.909,25,57,21,10,10,18,52
"Rodney McGruder",78,1966,190,460,0.413,73,220,0.332,117,240,0.488,44,71,0.62,95,162,124,45,18,56,140
"Tyler Johnson",73,2178,357,824,0.433,93,250,0.372,264,574,0.46,195,254,0.768,50,243,233,84,44,90,176
"Udonis Haslem",17,130,11,23,0.478,0,3,0,11,20,0.55,9,15,0.6,8,28,6,5,1,8,22
"Wayne Ellington",62,1500,231,555,0.416,149,394,0.378,82,161,0.509,37,43,0.86,18,115,70,35,4,30,70
"Willie Reed",71,1031,162,285,0.568,1,4,0.25,161,281,0.573,49,88,0.557,129,203,26,18,47,31,137
"Andre Drummond",81,2409,483,911,0.53,2,7,0.286,481,904,0.532,137,355,0.386,345,771,89,124,89,152,237
"Aron Baynes",75,1163,143,279,0.513,0,0,NA,143,279,0.513,79,94,0.84,111,222,32,17,39,50,166
"Beno Udrih",39,560,92,197,0.467,11,32,0.344,81,165,0.491,32,34,0.941,6,51,131,13,0,37,29
"Boban Marjanovic",35,293,72,132,0.545,0,0,NA,72,132,0.545,47,58,0.81,46,84,9,6,12,10,25
"Darrun Hilliard",39,381,47,126,0.373,12,46,0.261,35,80,0.438,21,28,0.75,2,31,33,11,2,28,39
"Henry Ellenson",19,146,23,64,0.359,10,35,0.286,13,29,0.448,4,8,0.5,8,33,7,1,1,14,6
"Ish Smith",81,1955,329,749,0.439,28,105,0.267,301,644,0.467,72,102,0.706,21,214,418,61,33,112,127
"Jon Leuer",75,1944,310,646,0.48,49,167,0.293,261,479,0.545,98,113,0.867,102,300,111,31,26,66,145
"Kentavious Caldwell-Pope",76,2529,370,928,0.399,153,437,0.35,217,491,0.442,154,185,0.832,55,193,193,89,12,86,118
"Marcus Morris",79,2565,421,1007,0.418,118,357,0.331,303,650,0.466,145,185,0.784,77,289,160,52,25,87,168
"Michael Gbinije",9,32,1,10,0.1,0,4,0,1,6,0.167,2,2,1,2,1,2,0,0,0,2
"Reggie Bullock",31,467,54,128,0.422,28,73,0.384,26,55,0.473,5,7,0.714,13,51,29,18,3,10,22
"Reggie Jackson",52,1424,284,677,0.419,66,184,0.359,218,493,0.442,118,136,0.868,21,92,270,35,5,114,129
"Stanley Johnson",77,1371,129,365,0.353,45,154,0.292,84,211,0.398,36,53,0.679,36,153,105,56,24,71,121
"Tobias Harris",82,2567,511,1063,0.481,109,314,0.347,402,749,0.537,190,226,0.841,63,353,142,60,39,95,133
"Brian Roberts",41,416,46,122,0.377,17,44,0.386,29,78,0.372,33,39,0.846,5,34,52,9,1,26,18
"Briante Weber",13,159,20,46,0.435,1,7,0.143,19,39,0.487,9,13,0.692,8,14,16,9,0,5,12
"Christian Wood",13,107,12,23,0.522,0,5,0,12,18,0.667,11,15,0.733,14,15,2,3,6,7,11
"Cody Zeller",62,1725,253,443,0.571,0,1,0,253,442,0.572,133,196,0.679,135,270,99,62,58,65,189
"Frank Kaminsky",75,1954,320,802,0.399,116,354,0.328,204,448,0.455,118,156,0.756,57,279,162,47,34,76,139
"Jeremy Lamb",62,1143,226,491,0.46,41,146,0.281,185,345,0.536,110,129,0.853,30,234,75,27,23,40,98
"Johnny O'Bryant",4,34,8,15,0.533,1,3,0.333,7,12,0.583,1,2,0.5,4,4,4,0,0,3,6
"Kemba Walker",79,2739,643,1449,0.444,240,602,0.399,403,847,0.476,304,359,0.847,45,263,435,85,22,168,119
"Marco Belinelli",74,1778,264,615,0.429,102,283,0.36,162,332,0.488,150,168,0.893,14,164,147,44,9,70,90
"Marvin Williams",76,2295,297,704,0.422,124,354,0.35,173,350,0.494,131,150,0.873,89,409,106,58,53,60,134
"Michael Kidd-Gilchrist",81,2349,295,618,0.477,1,9,0.111,294,609,0.483,152,194,0.784,156,409,114,81,77,56,187
"Miles Plumlee",13,174,14,24,0.583,0,0,NA,14,24,0.583,3,4,0.75,15,27,3,7,4,8,25
"Nicolas Batum",77,2617,393,975,0.403,135,405,0.333,258,570,0.453,243,284,0.856,46,435,455,86,29,194,109
"Ramon Sessions",50,811,100,263,0.38,21,62,0.339,79,201,0.393,91,118,0.771,11,62,129,26,3,46,43
"Treveon Graham",27,189,19,40,0.475,9,15,0.6,10,25,0.4,10,15,0.667,5,17,6,6,1,3,18
"Carmelo Anthony",74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,304,365,0.833,62,374,213,60,34,153,198
"Chasson Randle",18,225,28,72,0.389,10,32,0.313,18,40,0.45,29,31,0.935,6,21,28,6,1,16,28
"Courtney Lee",77,2459,321,704,0.456,108,269,0.401,213,435,0.49,85,98,0.867,53,207,179,81,23,69,141
"Derrick Rose",64,2082,460,977,0.471,13,60,0.217,447,917,0.487,221,253,0.874,66,180,283,44,17,147,84
"Joakim Noah",46,1015,99,201,0.493,0,1,0,99,200,0.495,34,78,0.436,161,241,103,30,37,58,127
"Justin Holiday",82,1639,233,538,0.433,97,273,0.355,136,265,0.513,66,80,0.825,27,198,102,65,31,66,109
"Kristaps Porzingis",66,2164,443,985,0.45,112,314,0.357,331,671,0.493,198,252,0.786,111,364,97,47,130,118,244
"Kyle O'Quinn",79,1229,215,413,0.521,2,17,0.118,213,396,0.538,64,83,0.771,157,282,117,36,104,76,174
"Lance Thomas",46,968,97,244,0.398,38,85,0.447,59,159,0.371,43,51,0.843,32,110,35,21,5,25,85
"Marshall Plumlee",21,170,16,30,0.533,0,0,NA,16,30,0.533,8,19,0.421,23,28,10,4,4,12,23
"Maurice Ndour",32,331,39,86,0.453,1,7,0.143,38,79,0.481,19,26,0.731,22,42,8,15,8,12,30
"Mindaugas Kuzminskas",68,1016,158,369,0.428,54,168,0.321,104,201,0.517,55,68,0.809,47,79,69,29,11,51,79
"Ron Baker",52,857,82,217,0.378,23,86,0.267,59,131,0.45,28,43,0.651,12,86,107,34,8,56,74
"Sasha Vujacic",42,408,42,136,0.309,23,74,0.311,19,62,0.306,17,24,0.708,12,47,52,13,2,16,38
"Willy Hernangomez",72,1324,246,465,0.529,4,15,0.267,242,450,0.538,91,125,0.728,170,332,96,41,36,100,150
"Aaron Gordon",80,2298,393,865,0.454,77,267,0.288,316,598,0.528,156,217,0.719,116,289,150,64,40,89,172
"Bismack Biyombo",81,1793,179,339,0.528,0,0,NA,179,339,0.528,125,234,0.534,157,410,74,25,91,95,202
"C.J. Watson",62,1012,96,248,0.387,32,105,0.305,64,143,0.448,57,66,0.864,16,73,114,43,2,47,84
"D.J. Augustin",78,1538,195,517,0.377,95,274,0.347,100,243,0.412,131,161,0.814,15,102,209,31,1,90,101
"Damjan Rudez",45,314,31,88,0.352,20,64,0.313,11,24,0.458,0,0,NA,5,20,20,12,1,9,31
"Elfrid Payton",82,2412,430,912,0.471,40,146,0.274,390,766,0.509,146,211,0.692,89,298,529,88,40,178,177
"Evan Fournier",68,2234,408,930,0.439,128,360,0.356,280,570,0.491,223,277,0.805,44,165,202,66,4,141,180
"Jeff Green",69,1534,220,558,0.394,53,193,0.275,167,365,0.458,145,168,0.863,39,175,81,37,13,75,103
"Jodie Meeks",36,738,103,256,0.402,56,137,0.409,47,119,0.395,65,74,0.878,5,72,45,34,4,36,41
"Marcus Georges-Hunt",5,48,2,7,0.286,1,2,0.5,1,5,0.2,9,10,0.9,1,8,3,1,0,2,5
"Mario Hezonja",65,960,117,330,0.355,43,144,0.299,74,186,0.398,40,50,0.8,20,126,62,30,14,58,74
"Nikola Vucevic",75,2163,483,1031,0.468,23,75,0.307,460,956,0.481,107,160,0.669,176,603,208,77,74,117,180
"Patricio Garino",5,43,0,7,0,0,5,0,0,2,0,0,0,NA,1,6,0,0,0,3,4
"Stephen Zimmerman",19,108,10,31,0.323,0,0,NA,10,31,0.323,3,5,0.6,11,24,4,2,5,3,17
"Terrence Ross",24,748,115,267,0.431,46,135,0.341,69,132,0.523,23,27,0.852,4,64,43,34,13,35,61
"Alex Poythress",6,157,25,54,0.463,6,19,0.316,19,35,0.543,8,10,0.8,11,18,5,3,2,3,14
"Dario Saric",81,2129,381,927,0.411,106,341,0.311,275,586,0.469,172,220,0.782,112,402,182,57,30,183,162
"Gerald Henderson",72,1667,234,553,0.423,61,173,0.353,173,380,0.455,133,165,0.806,34,151,112,41,15,62,129
"Jahlil Okafor",50,1134,242,471,0.514,0,0,NA,242,471,0.514,106,158,0.671,81,159,58,20,49,91,122
"Jerryd Bayless",3,71,11,32,0.344,2,5,0.4,9,27,0.333,9,10,0.9,3,9,13,0,0,9,4
"Joel Embiid",31,786,200,429,0.466,36,98,0.367,164,331,0.495,191,244,0.783,61,182,66,27,76,117,112
"Justin Anderson",24,518,75,162,0.463,21,72,0.292,54,90,0.6,32,41,0.78,30,66,34,13,7,26,45
"Nik Stauskas",80,2188,251,634,0.396,132,359,0.368,119,275,0.433,122,150,0.813,21,205,188,46,32,128,144
"Richaun Holmes",57,1193,230,412,0.558,27,77,0.351,203,335,0.606,72,103,0.699,94,217,58,42,55,55,136
"Robert Covington",67,2119,292,732,0.399,137,412,0.333,155,320,0.484,143,174,0.822,92,344,102,127,69,131,203
"Sergio Rodriguez",68,1518,210,536,0.392,92,252,0.365,118,284,0.415,18,27,0.667,21,136,344,48,4,128,95
"Shawn Long",18,234,61,109,0.56,7,19,0.368,54,90,0.6,19,35,0.543,41,44,13,9,9,13,49
"T.J. McConnell",81,2133,236,512,0.461,11,55,0.2,225,457,0.492,73,90,0.811,39,212,534,133,10,159,139
"Tiago Splitter",8,76,14,31,0.452,2,6,0.333,12,25,0.48,9,11,0.818,8,14,4,1,1,6,8
"Timothe Luwawu-Cabarrot",69,1190,145,361,0.402,50,161,0.311,95,200,0.475,105,123,0.854,25,123,75,32,10,73,154
"Andrew Nicholson",10,111,13,34,0.382,2,11,0.182,11,23,0.478,2,2,1,4,23,3,5,0,6,18
"Archie Goodwin",12,184,34,61,0.557,4,13,0.308,30,48,0.625,23,32,0.719,7,21,23,4,4,14,7
"Brook Lopez",75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,295,364,0.81,121,282,176,38,124,184,192
"Caris LeVert",57,1237,171,380,0.45,59,184,0.321,112,196,0.571,67,93,0.72,23,165,110,49,8,59,91
"Isaiah Whitehead",73,1643,204,508,0.402,44,149,0.295,160,359,0.446,91,113,0.805,32,152,192,42,36,142,175
"Jeremy Lin",36,883,175,400,0.438,58,156,0.372,117,244,0.48,115,141,0.816,11,124,184,41,14,86,79
"Joe Harris",52,1138,154,362,0.425,85,221,0.385,69,141,0.489,35,49,0.714,16,131,54,30,8,55,121
"Justin Hamilton",64,1177,174,379,0.459,55,181,0.304,119,198,0.601,39,52,0.75,71,191,55,29,43,43,91
"K.J. McDaniels",20,293,46,101,0.455,11,39,0.282,35,62,0.565,23,28,0.821,9,43,9,12,10,19,25
"Quincy Acy",32,510,65,153,0.425,36,83,0.434,29,70,0.414,43,57,0.754,18,89,18,14,15,19,58
"Randy Foye",69,1284,118,325,0.363,67,203,0.33,51,122,0.418,54,63,0.857,9,146,135,35,9,80,99
"Rondae Hollis-Jefferson",78,1761,235,542,0.434,15,67,0.224,220,475,0.463,190,253,0.751,96,356,154,82,44,116,177
"Sean Kilpatrick",70,1754,305,735,0.415,105,308,0.341,200,427,0.468,204,242,0.843,22,258,157,46,6,136,118
