HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2
100,100,100,100,100,100,100,100,100,12,12,18,20,20,80,90
85,95,100,95,95,95,100,100,100,12,11,16,18,19,57.6,74.7
87.5,100,85,70,100,98,,80,,7,10,10,10,,56.8,54.9
92.5,100,100,100,96.25,99,100,92.5,95,12,8,16,13,13,69.6,58.05
32.5,,65,60,,46,,,,5,5,9,,,40,16.2
75,85,92.5,95,100,91,,,90,9,11,17,,15,73.6,71.1
90,100,97.5,95,80,80,52,90,90,12,11,9,15,18,78.4,68.85
92.5,95,100,90,100,72,95,74.5,100,12,10,8,12,13,52,63.9
82.5,85,92.5,70,100,,84,90,95,12,11,18,14,19,80,73.8
75,95,95,95,95,96,,100,98,12,7,10,13,16,63.2,70.65
,77.5,,15,,70,80,80,57.5,11,8,5,7,3,21.6,50.4
95,100,100,100,100,90,100,100,70,12,12,18,16,20,77.6,87.3
82.5,,82.5,80,100,,,,70,12,9,7,9,12,42.4,41.4
80,92.5,87.5,100,100,69,51.5,80,75,12,12,15,13.5,20,70.4,68.4
87.5,100,100,100,85,90,100,100,80,12,8,13,12,15,68,70.2
50,,67.5,50,,78,41.5,82.5,80,11,4,10,14,17,40,36.9
47.5,70,77.5,30,85,55,78,92.5,80,11,8,3,,6,47.2,20.7
77.5,85,100,100,95,93,82,90,95,12,9,10,14,13,59.2,69.3
65,92.5,92.5,,95,80,74,80,80,12,10,9,13,14,64,67.95
52.5,75,85,90,86.25,99,70,100,,8,8,14,5,10,61.6,62.1
77.5,97.5,100,100,100,100,100,100,100,12,11,18,14,20,69.6,70.2
95,77.5,95,100,100,87,100,90,100,12,12,17,14,19,64,77.4
70,67.5,75,70,95,77,79,,63.5,11,11,11,,16,54.4,45
77.5,70,87.5,90,80,81,87,90,85,11,8,0,0,14,35.2,31.5
72.5,72.5,85,80,90,93,100,100,100,12,11,16,14,19,64.8,81
80,80,85,60,92.5,71,48,64,95,12,4,4,8,5,39.2,42.75
97,100,100,100,100,98,100,,96,12,9,7,,20,67.2,77.4
92.5,100,100,80,100,,83,95,90,12,8,3,15,14,50.4,61.2
87.5,55,87.5,52.5,70,98,90,90,80,12,10,12,6,16,57.6,62.1
92.5,92.5,85,90,95,87,73,100,80,12,10,13,17,18,72,67.5
52.5,97.5,100,90,95,95,100,85,70,12,11,10,13,15,64.8,70.65
86.5,94,95,100,95,90,77,60,98,10,8,11,13,17,63.2,64.35
88.5,85,100,100,100,99,100,100,94,12,12,16,18,20,79.2,67.05
95,98,100,80,100,90,52,70,100,12,10,8,15,16,62.4,48.15
85,77.5,92.5,55,65,64,26,62.5,85,12,4,9,6,12,29.6,24.75
87.5,100,100,70,95,100,78,90,80,12,8,8,8,18,62.4,35.1
76,72.5,50,,61.25,71,51,50,80,12,7,10,10,4,44.8,63.45
81,97.5,100,75,95,87,82,90,95,12,12,18,15,11,67.2,75.6
92.5,100,92.5,90,100,95,85,90,80,12,10.5,12,13,20,66.4,63
87.5,100,92.5,90,95,91,90,95,100,11,10,12,16.5,17,72,81
93.5,95,97.5,100,100,76,95,90,80,12,12,14,15,13,76.8,75.15
75,82.5,100,100,90,88,84,87.5,100,12,11,16,14,18,76.8,76.5
87.5,62.5,80,70,100,96,92,100,70,12,7,12,12,15,58.4,54.9
90,90,72.5,90,100,97,100,95,100,12,10,11,13,13,55.2,41.4
70,90,90,80,69.5,54,82,0,100,9,6,7,8,8,37.6,43.2
95,85,90,50,56,86,92,75,55,12,10.5,14,9,15,42.4,27
82.5,100,97.5,90,91.25,99,97,100,100,12,11,16,18,20,67.2,73.8
95,100,100,90,95,99,97,80,100,12,12,17,18,19,70.4,83.25
100,100,97.5,100,100,95,100,100,60,12,11.5,11,15,14,55.2,69.3
67.5,100,100,90,95,90,100,90,100,12,12,14,14,20,71.2,83.7
92.5,85,92.5,100,100,93,91,90,75,12,11.5,15,15,14,66.4,80.1
80,85,92.5,,95,66,80.5,67.5,100,12,8,16,17,16,49.6,62.55
0,77.5,100,80,100,90,80,0,65,12,10.5,17,15,17,34.4,69.3
92.5,95,85,100,100,99,89,100,100,12,11,18,15,20,67.2,70.2
90,95,100,100,100,99,100,80,85,12,12,18,15,20,71.2,76.5
87.5,77.5,97.5,90,97,96,90,80,80,12,11.5,0,11,16,56,60.75
92.5,100,100,100,95,99,94,99,95,12,9,18,17,19,70.4,77.4
95,98,92.5,70,95,98,100,100,98,12,12,14,10,18,68.8,70.2
82,100,91.5,100,100,90,100,70,96,12,6,14,12,19,55.2,63.9
82.5,100,85,75,95,86,26,45,65,12,4,10,10,17,36.8,36
90,95,100,100,100,96,100,95,100,12,8,17,15,18,44.8,63
87.5,77.5,100,80,85,99,100,100,85,11,8,10,5,12,38.4,40.95
74,100,85,90,90,96,86,90,98,12,11,14,15,18,60.8,76.05
80,60,95,80,85,91,68,80,67.5,12,5,11,11,16,36.8,45
91.5,97,87.5,80,90,82,90,90,98,12,7,13,11,15,51.2,39.15
80,95,90,80,97.5,94,73,90,85,12,7,12,11.5,20,64.8,64.35
92.5,95,100,100,95,98,70,100,100,12,11,11,12,18,66.4,73.35
92.5,100,100,90,100,93,89,80,60,12,10,14,11,16,65.6,63.9
80,77.5,70,65,100,97,100,75,85,12,7,10,5,8,56.8,34.2
80,,92.5,90,90,79,,70,51.5,12,11,16,,20,75.2,68.85
0,10,47.5,0,90,0,56,40,75,7,6.5,5,6,16,43.2,31.5
85,85,92.5,60,95,98,100,80,100,12,11,9,15,19,47.2,57.6
70,89,70,80,85,96,,90,,11,9,8,13,,64,54.9
85,97.5,100,85,75,97,97,95,85,12,3,8,7,13,48.8,36.45
94.5,100,85,100,100,98,90,100,96,12,9,11,16,16,78.4,72
62.5,65,32.5,27.5,,79,79,75,94,12,11,6,5,11,44,54.9
85,70,85,95,100,88,88,100,85,12,9,18,18,20,47.2,65.7
92.5,100,100,100,100,100,100,95,100,12,11,16,16,16,59.2,71.1
92.5,100,100,100,95,90,100,95,85,12,12,16,16,16,76,74.25
80,75,90,90,100,93,98,90,85,12,11,16,15,20,69.6,76.5
92.5,82.5,87.5,90,100,82,82,,85,9,6,8,,5,45.6,52.2
76,80,100,95,90,93,89,87.5,80,12,12,12,14,17,55.2,66.6
82.5,85,92.5,95,90,100,100,100,80,12,8,10,17,,62.4,47.25
77.5,62.5,97.5,80,,83,100,75,70,11,8,8,14,16,67.2,69.3
77.5,100,100,100,100,99,92,100,98,12,11,18,18,20,76,85.5
87.5,85,92.5,80,100,99,,100,75,12,12,18,12,20,75.2,70.2
67.5,95,82.5,95,60,79,89,100,85,12,10,15,13.5,19,76.8,81.9
30,,,100,85,91,77,85,85,12,3,10,5,6,38.4,38.7
92.5,100,100,,100,100,,100,100,12,11,18,20,20,64,78.3
82.5,,95,100,95,99,100,100,100,9,9,13,16,19,70.4,75.6
77.5,97.5,100,70,,96,100,80,75,12,8,2,9,15,48.8,49.5
80,75,,67.5,77.5,87,100,82.5,90,11,10,15,18,18,57.6,72.9
,85,80,75,100,78,,90,,12,11,7,15,,58.4,37.35
87.5,85,92.5,85,95,91,92,90,90,12,11,9,,17,64,65.7
73.5,,92.5,90,80,,100,100,75,12,10,13,13,19,70.4,65.7
79,95,92.5,65,72.5,91,100,0,76,11,4,14,19,19,59.2,75.6
,,,42.5,,,,,,10,7,,,0,42.4,35.55
100,97.5,100,90,100,99,100,100,100,12,12,14,18,19,69.6,84.6
92.5,95,100,,100,93,90,85,100,12,10,18,14,16,65.6,80.55
96,97.5,100,,100,89,97,100,99,12,12,12,16,19,73.6,78.3
45,77.5,67.5,70,90,71,89,90,85,12,4,13,9.5,14,57.6,63.9
,85,85,67.5,90,88,96,75,95,12,7,12,10,,48.8,40.95
85,92.5,100,100,95,90,100,97.5,100,12,12,14,15,12,62.4,61.2
82.5,70,100,65,97,71,78,85,85,11,9,7,11,16,70.4,55.8
92.5,92.5,100,80,95,97,97,95,80,12,10,10,15,18,57.6,54.9
55,85,100,100,60,100,80,90,90,12,11,14,17,20,71.2,76.5
92.5,77.5,92.5,100,100,96,89,97.5,99,12,10,13,16,20,58.4,71.55
62.5,97.5,82.5,67.5,90,98,100,80,100,12,9,13,11.5,15,55.2,50.4
100,100,92.5,100,100,0,94,85,0,10,5,15,14,0,71.2,75.6
87.5,92.5,100,90,87,96,94,95,70,12,11.5,15,14,3,64.8,42.3
92.5,100,100,100,100,99,100,100,97,12,12,18,20,20,64.8,88.2
95,96,100,100,100,97,30,95,98,12,11,8,16,19,44,63.9
77.5,95,97.5,80,100,94,99,100,85,12,10,16,12,20,60.8,72.9
88.5,97,100,90,100,99,97,100,85,12,8,16,19,13,57.6,72.9
72.5,62.5,100,99,100,,,100,99,10,11,15,,17,62.4,78.75
87,100,92.5,80,100,89,50,80,98,12,10,0,12,17,66.4,82.8
75,100,100,90,100,95,97,95,85,12,11,12,13,19,62.4,60.3
92.5,85,85,,95,99,81,90,75,12,11,17,9,18,52.8,75.15
84,100,87.5,70,100,97,100,90,100,12,10,11,19,16,42.4,55.35
77.5,95,95,95,90,89,99,90,85,12,12,14,18,20,71.2,87.3
62.5,90,52.4,90,54,75,25,,60,11,6,2,,1,21.6,23.4
80,85,85,90,72,95,92,100,60,12,9.5,13,11,18,65.6,65.7
0,62.5,10,55,66,0,0,60,30,7,9,0,3,8,32.8,29.25
87.5,85,100,100,95,90,100,90,80,12,12,15,13,19,49.6,62.1
77.5,95,75,100,100,90,97.5,95,100,12,12,16,19,17,56,73.8
92.5,100,100,100,100,93,88,100,80,12,8,5,15,18,64.8,69.75
88.5,100,100,100,100,99,100,100,100,12,12,18,17,18,68,77.4
50,100,97.5,75,76.25,94,77,93.5,75,12,11,18,18,20,70.4,76.5
80,100,77.5,77.5,95,90,95,80,,9,8,14,13.5,,76,58.95
77.5,90,100,100,90,95,97,100,100,12,9,14,16,18,64.8,59.85
86,97.5,100,90,100,98,97,100,100,12,10,18,18,20,77.6,80.1
100,100,97.5,100,100,100,100,100,100,12,12,18,20,20,80,85.5
95,85,100,100,100,93,100,90,100,12,12,18,18,20,72,84.6
100,99,100,90,100,99,100,95,99,12,12,16,19,19,72,78.3
60,100,92.5,100,100,94,100,80,100,12,9,9,9,13,62.4,75.6
87.5,92.5,100,80,95,89,95,95,90,12,10,14,13,14,55.2,79.2
99,83,92.5,98,100,0,0,0,0,6,4,3,0,0,29.6,12.6
100,100,100,100,100,100,0,100,96,11,9,14,11,16,64.8,58.5
82.5,100,93.5,100,100,95,80,90,100,12,8,16,14,17,63.2,63.45
52.5,100,82.5,90,100,94,100,75,85,12,11,9,8.5,17,66.8,74.25
60,70,85,75,,,,,,3,8,14,,19,67.2,65.7
90,,70,90,,44,,40,55,10,11,14,11,13,43.2,49.5
87.5,100,100,100,100,100,100,100,80,12,12,18,13,20,80,84.6
92.5,100,100,70,100,100,92,100,80,12,11,17,17,17,60.8,50.85
87.5,60,100,100,95,92,79,95,100,12,7,12,14,19,60,76.5
85,95,100,100,95,100,89,97.5,85,12,11,12,16.5,20,72,79.2
83.5,100,,90,70,94,76,100,100,12,12,11,18,19,60,67.05
85,100,92.5,100,95,100,90,65,100,12,8,18,15,17,66.4,79.2
92.5,100,92.5,70,100,82,86,60,100,12,8,12,8,9,69.6,63.9
92.5,97.5,95,100,91.25,100,94,100,95,12,10,14,8,19,62.4,66.6
86,100,100,90,100,92.5,,90,100,12,7,6,17,18,32.8,66.6
92.5,100,,90,100,100,89,100,100,12,10,13,16,19,70.4,77.4
82.5,80,95,90,100,98,92,100,85,11,11,16,12,18,68,72.9
85,42.5,,,,66,,,80,6,10,12,,14,52,43.2
77.5,100,97.5,65,72,81,97,100,75,10,9.5,9,0,17,64.8,62.1
70,80,90,100,90,,90,90,85,12,11,,15,18,36,46.8
77.5,92.5,95,90,,95,94,100,100,10,8,16,14,9,66.4,70.2
92.5,97.5,100,100,100,99,97,100,100,12,11,11,17,14,57.6,72.9
89.5,100,97.5,80,96.25,96,51,85,100,12,12,12,15,17,69.6,74.7
89,100,55,98,100,83,100,0,97,9,9,11,0,20,70.4,69.3
65,82.5,87.5,85,95,95,100,90,80,12,11,14,15,19,70.4,78.3
92.5,100,100,70,100,100,91,80,90,12,12,12,12,18,68.8,73.35
92.5,97.5,100,,100,99,94,90,100,12,11,16,16,19,71.2,79.2
92.5,82,92.5,75,100,99,76,90,89,12,12,15,16,8,67.2,78.3
70,78,95,0,90,97,100,80,100,11,9,5,10,11,64.8,63.9
80,57.5,100,60,80,78,70,95,94,12,10,12,14,18,68.8,64.35
92.5,100,92.5,95,100,97,97,100,85,12,7,9,10.5,12,68,63
82.5,100,100,100,100,98,71,100,91,12,11,15,16,19,69.6,80.1
80,,95,,55,,,,75,7,10,,,13,53.6,60.75
42.5,52.5,90,72.5,100,95,88,80,85,12,10,16,8.5,16,65.6,63
80,92.5,100,90,100,94,85,90,85,11,11,16,15,20,66.4,57.15
70,100,92.5,82.5,100,99,97,90,85,12,9,15,16,18,69.6,80.1
90,100,100,100,95,99,100,100,100,12,11,18,16,18,70.4,74.7
70,92.5,90,85,95,99,88,90,90,12,11,16,15,18,69.6,65.7
100,100,85,90,85,89,92,95,95,12,12,17,16,20,79.2,81.9
100,100,92.5,80,100,98,100,80,100,10,12,,18,,70.4,82.8
40,,82.5,,70,,52,,98,12,7,11,,15,46.4,36
92.5,100,92.5,90,100,96,85,90,85,12,10,16,16,15,60,70.65
92.5,85,100,85,95,100,92,90,75,12,11,11,16,20,71.2,74.7
87,100,100,100,100,93,91,80,98,10,10,16,10,17,48,54
75,97.5,67.5,80,95,90,58,100,85,12,12,14,13.5,17,57.6,56.7
100,100,92.5,90,95,95,100,100,80,12,10,18,16,20,72,80.1
85,85,85,85,85,72,85,65,80,6,9,7,12,14,48.8,54.9
92.5,70,90,75,100,100,84,100,75,12,12,16,17,19,69.6,66.6
85,99,92.5,,,,,,,3,5,,,,75.2,66.6
80,100,100,,90,,100,70,,10,10,,6,14,64,55.35
65,100,55,90,100,86.5,100,85,85,9,10,16,10.5,18,68,60.3
60,100,92.5,100,95,71,90,92.5,85,10,11,16,10.5,20,72,74.25
75,100,100,100,100,95,100,100,100,12,12,16,16.5,20,66.4,76.05
67.5,80,77.5,47.5,100,80,76,77.5,80,12,10,14,15,16,44,64.35
73.5,70,92.5,80,100,97,90,100,96,12,8,11,15,17,65.6,73.8
75,90,95,70,85,85,,62.5,100,12,10,16,8,16,59.2,68.4
70,97.5,100,70,100,100,97,95,85,12,11,9,16,14,61.2,64.8
82.5,100,100,100,97,100,100,90,75,12,11,13,13,16,62.4,57.15
91.5,97.5,98,90,92,95,62,95,90,12,8,8,18,18,64,65.25
100,72.5,100,100,100,99,97,100,100,12,8,18,17,10,66.4,67.5
95,100,100,100,100,89,98,85,100,12,11,12,12,16,52.8,63.9
62.5,,,,65,76,71,90,97.5,9,,8,11,20,68,34.2
52.5,55,85,67.5,90,78,92,80,80,12,6,13,,17,52,54.45
92.5,97.5,,85,90,76,81,90,80,12,11,9,12,15,69.6,78.3
100,100,92.5,90,100,99,90,95,100,12,12,18,17,18,70.4,80.1
82,100,87.5,90,100,96,100,80,95,11,9,13,11,15,55.2,57.6
72.5,95,100,80,100,76,100,90,70,12,11,18,20,20,68.8,81
82.5,85,95,90,100,95,87,85,85,12,11,16,14,20,59.2,71.1
89.5,100,100,70,100,0,97,100,98,10,9,13,14,15,56,56.7
95,75,100,100,100,99,85,85,100,12,6,10,10,19,60.8,51.3
92.5,100,100,100,100,100,100,100,100,12,8,11,16,18,66.4,66.6
92.5,0,92.5,95,100,95,0,0,80,9,10,0,7,12,55.2,41.4
67,0,47.5,90,100,59,59,80,98,12,11,16,17,18,63.2,70.65
90,90,90,90,,,,,,6,6,,7,,66.24,12.6
90,80,80,60,71.25,95,95,100,90,12,8,14,13,15,63.2,61.65
,,82.5,75,90,,87,,80,10,9,,10,18,30.4,27
77.5,100,92.5,65,90,78,97,95,80,12,8.5,10,17,18,40.8,65.7
90,77.5,100,90,100,83,100,100,100,12,6,9,16,7,54.4,58.05
85,100,100,95,100,96,88,90,85,12,11,18,14,17,68,73.35
100,100,100,90,94,98,97,85,91,12,10,14,11,16,70.4,65.7
75,85,92.5,55,51,68,76,80,80,12,8,9,10,17,68.8,63
88.5,,,100,85,99,90,85,79,12,11,16,13,19,68.8,69.3
77.5,100,92.5,90,95,97,100,90,,11,12,12,17,19,61.6,81.9
72.5,100,100,95,100,83,88,60,85,12,11,13,15,18,71.2,74.7
55,92.5,92.5,97.5,75,77,100,85,85,12,5,14,10.5,19,60.8,70.65
90,90,90,90,90,93,67,,,11,9,18,,,69.6,61.2
67.5,67.5,95,77.5,100,87.5,70,90,85,7,4,,5,9,68.8,62.1
73.5,80,100,100,90,89,94,90,,12,8,14,15,17,63.2,60.75
92.5,100,100,30,100,100,100,85,75,12,11,5,,20,63.6,44.1
65,50,72.5,90,80,,,62.5,,8,10,13,10,,65.6,63.45
92.5,100,100,90,100,99,99,87.5,100,12,7,16,16,11,48.8,53.1
88.5,92.5,95,60,85,,,100,,11,7,,8,7,56.8,49.95
72.5,100,77.5,45,89,90,90,75,65,12,6.5,10,15,13,57.6,54
87.5,100,82.5,90,100,90,100,80,85,12,7,13,6,11,61.6,24.3
77.5,77.5,95,100,99,92,80,87.5,85,11,4,8,13,12,61.6,44.1
73.5,72.5,60,,80,,,60,,11,8,10,8,,68,49.5
100,85,92.5,100,90,99,,100,100,12,8,18,20,17,61.2,80.1
94,100,100,100,100,98,100,100,100,12,12,15,14,17,71.2,77.85
97.5,100,97.5,100,100,86,100,90,100,12,11,18,13,18,62.4,80.1
94.5,97,96,100,80,100,97,100,100,12,9,15,10,20,64,68.85
92.5,100,100,98,100,98,86,100,98,12,12,15,10,16,66.4,72
100,100,100,65,95,94,100,95,100,12,12,10,16,18,70.4,80.1
100,85,100,100,100,99,97,80,95,12,12,18,19,20,80,84.6
92.5,100,97.5,80,95,100,90,100,70,12,12,18,17,20,79.2,88.2
95,85,100,70,0,99,95,95,100,12,11,13,10,18,77.6,86.4
92.5,100,95,100,100,90,100,85,97.5,12,3,6,4,13,31.2,20.7
92.5,100,97.5,100,100,99,92,100,85,12,11,16,19,19,63.2,68.85
87.5,87.5,100,60,95,72,70,80,,12,10,11,12,,62.4,62.1
80,,77.5,20,,37,67,50,85,10,4,3,6,8,50.4,58.5
82.5,95,90,77.5,100,95,84,85,100,12,10,16,16,15,46.4,61.2
82.5,97.5,75,50,42.5,86,61,85,100,12,7,11,7,16,55.2,49.95
96,99,91.5,70,93,86,65,75,90,12,8,7,6,14,41.6,35.1
75,85,100,100,100,99,90,90,80,11,11,15,19,19,70.4,82.8
92.5,100,100,90,100,99,100,95,100,12,11,14,15,13,66.4,70.2
94.5,84,95,95,100,98,86,100,0,12,8,13,16,14,40.8,58.95
72.5,77.5,0,75,85,0,0,0,65,10,0,5,7,7,19.2,18.45
100,79,85,95,85,91,79,75,92,12,11,8,18,18,64,63.9
92.5,100,100,90,98,99,97,100,95,12,8,12,11,15,25.6,54.9
100,100,90,100,100,94,100,100,,11,12,14,15,,72,72.9
93,73,100,88,100,96,80,95,95,10,12,9,13,12,76,65.25
100,85,97.5,100,95,0,89,90,90,11,9.5,17,10,17,49.6,66.6
92.5,100,100,70,100,100,100,100,85,12,9,16,19,,67.2,72.45
92.5,92.5,90,90,100,90,100,90,85,12,10,13,17,20,63.2,86.4
68,55.5,85,,65,50,52,,20,10,6,9,6,7,43.2,28.8
92.5,92.5,100,90,100,100,100,0,80,12,11.5,18,0,20,70.4,78.3
57.5,100,100,,80,93,76,75,95,12,9,13,14,18,79.2,66.6
89.5,57,95,90,0,98,0,75,100,9,9,14,9,11,37.6,71.1
89.5,79,97.5,100,90,99,100,100,99,12,12,16,15,18,68.8,85.95
75,100,92.5,100,100,99,100,90,100,12,10,16,19,20,77.6,77.4
87.5,92.5,90,80,90,80,89,90,55,12,9,14,16,20,52,71.1
57.5,70,82.5,,55,,51,45,,11,10,7,11.5,,40,55.8
52.5,77.5,97.5,50,95,80,79,90,50,12,8,7,13,18,46.4,52.65
82.5,,92.5,80,93,98,85,100,85,12,10,14,11,18,68.8,75.15
62.5,70,87.5,60,100,80,84,95,80,12,5,16,13,15,42.4,63.9
65,55,87.5,90,90,72,77,,80,12,10,13,11.5,16,68,75.6
85,90,90,20,95,85,97,75,80,12,7,5,10,6,59.52,57.6
100,100,100,100,100,75,100,95,65,12,11.5,13,9,17,50.4,68.4
87.5,100,92.5,100,100,100,90,100,100,12,10,16,15,17,69.6,81
92.5,70,85,80,100,97,79,100,85,12,10,18,19,20,76.8,68.4
62.5,80,75,100,95,95,100,85,100,12,9,18,16,15,56.8,53.55
87,100,100,100,99,99,100,100,96,11,6,12,14,18,64,78.75
60,75,100,,100,94,100,90,100,10,6,6,5,8,69.6,44.55
79,96.5,92.5,100,100,98,87,100,82,12,12,14,15,20,66.4,70.65
87.5,97.5,95,90,90,88,100,60,100,12,8,15,13.5,,68.8,70.2
60,82.5,92.5,80,,73,85.5,100,85,11,9,9,11.5,13,76.8,74.7
90,100,100,100,95,99,100,95,100,12,12,18,16,18,64.8,72.9
92.5,100,100,100,100,99,100,100,95,12,10,12,14,19,71.2,76.5
87.5,100,65,70,,76,80,100,98,9,6,6,11,19,53.6,70.2
,85,100,100,100,99,100,97.5,100,12,8,14,14,15,60,81
70,70,55,65,72.5,58,47,60,80,12,11,10,15,20,65.6,58.05
82.5,77.5,100,90,95,93,84,100,85,12,12,14,17,9,59.2,70.2
100,85,100,100,100,87,97,90,100,12,8,18,17,18,64,66.15
82.5,100,92.5,80,100,99,100,80,100,12,12,18,18,20,71.2,89.1
,80,100,95,78,90,77,75,97,11,10,12,11,17,58.4,59.85
77.5,,92.5,90,85,66,48,70,85,12,6,9,5,6,28,40.05
92.5,72.5,72.5,30,,83,100,,85,12,7,8,7,3,20.8,18.45
92.5,100,100,100,100,99,97,100,85,12,11,18,19,20,71.2,79.65
73.5,85,95,90,99,88,97,90,100,12,6,14,9,14,75.2,64.8
92.5,100,100,100,100,100,92,,95,12,11,17,15,20,78.4,80.1
92.5,92.5,97.5,80,97,100,89,90,60,11,10.5,12,6,14,51.2,44.1
52.5,47.5,97.5,75,65,81,79,90,65,10,9,8,8,15,39.2,60.3
77.5,92.5,77.5,90,93,90,90,55,65,11,8,8,6,10,64,49.05
72.5,65,90,70,75,84,65,80,85,11,10,11,16,19,64,71.1
78.5,,72.5,90,95,87,97,100,100,11,6,14,17,13,56,60.75
80,100,95,70,87.5,90,96,100,85,12,11,11,11,19,61.6,80.55
62.5,,77.5,90,100,98,100,90,100,12,12,17,7,18,76,74.25
94,100,100,90,100,99,100,95,95,12,11,14,16,18,56.8,65.25
66,85,90,90,100,,65,95,100,12,10,4,15,13,42.4,36.9
77.5,85,85,60,100,100,86,100,80,12,9,15,15,13,44,60.3
87.5,77.5,100,95,95,100,0,75,75,12,11.5,16,15,20,67.2,72.9
99.5,100,100,90,72.5,100,97,100,98,12,11,18,15,18,56,70.2
82.5,100,95,80,95,96,100,80,85,12,12,14,17,18,72,76.5
85,95,85,100,100,98,88,90,85,12,12,9,13,19,64.8,67.5
52.5,92.5,97.5,,91.25,,,,,10,7,,,,43.2,20.7
87.5,77.5,100,60,100,89,83,80,80,12,10,14,13,16,59.2,71.55
92.5,100,95,100,100,99,100,85,98,12,12,16,15,19,80,84.15
47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,9,11,9,20,47.2,62.1
98,94,77.5,90,95,97,100,90,99,12,11,13,11,15,60.8,48.6
80.5,85,100,90,95,96,86,60,100,12,8,14,15,19,76.8,66.15
60,,90,,,91,,47.5,66,11,9,13,6,20,62.4,53.55
,50,42.5,80,100,83,71,75,50,12,8,11,11,7,14.4,39.6
92.5,85,100,70,90,96,100,100,100,11,9,12,9,19,67.2,64.8
92.5,100,100,100,100,0,90,100,100,11,11,11,13,16,78.4,75.6
87.5,100,97.5,100,90,80,100,80,94,12,9,13,12,15,54.4,53.1
65,100,90,90,100,99,86,72.5,75,12,12,16,16,19,71.2,72.9
92.5,100,100,100,95,100,86,100,80,12,11.5,13,12,20,62.4,74.25
82.5,100,95,100,,100,92,100,100,12,7,18,13,16,68.8,63.9
,75,67.5,90,80,71,,50,,8,10,11,5,7,64,44.55
82.5,87.5,85,35,60,95,87,100,85,11,7,17,19,20,71.2,81
82.5,100,85,90,95,85,90,100,82.5,12,12,10,13,15,46.4,71.1
72.5,100,100,100,100,80,76,85,98,12,11,13,14,20,74.4,80.1
72.5,70,100,90,100,95,97,100,85,12,12,16,15,16,72,75.15
0,0,0,10,0,0,53.5,70,32,9,4,0,11,9,32.8,56.7
88.5,99,,,85,,,85,85,12,9,9,16,14,57.6,50.85
95,95,100,100,95,99,100,100,100,12,11,16,13,20,65.6,81
72.5,92.5,100,90,95,89,83,95,100,12,11,4,12,15,60.8,57.15
100,85,100,100,100,99,97,85,95,12,12,18,20,20,80,89.1
92.5,75,100,100,96.25,96,100,90,100,12,9,16,14,18,61.6,74.7