"Height","Athlete","Date","Place"
"1.46 m (4 ft 9 1⁄2 in)","Nancy Voorhees (USA)","20 May 1922","Simsbury[1]"
"1.485 m (4 ft 10 1⁄2 in)","Elizabeth Stine (USA)","26 May 1923","Leonia[1]"
"1.485 m (4 ft 10 1⁄2 in)","Sophie Eliott-Lynn (GBR)","6 August 1923","Brentwood[1]"
"1.524 m (5 ft 0 in)","Phyllis Green (GBR)","11 July 1925","London[1]"
"1.552 m (5 ft 1 1⁄8 in)","Phyllis Green (GBR)","2 August 1926","London[1]"
"1.58 m (5 ft 2 1⁄4 in)","Ethel Catherwood (CAN)","6 September 1926","Regina[1]"
"1.58 m (5 ft 2 1⁄4 in)","Lien Gisolf (NED)","3 July 1928","Brussels[1]"
"1.595 m (5 ft 2 3⁄4 in)","Ethel Catherwood (CAN)","5 August 1928","Amsterdam[1]"
"1.605 m (5 ft 3 1⁄4 in)","Lien Gisolf (NED)","18 August 1929","Maastricht[1]"
"1.62 m (5 ft 3 3⁄4 in)","Lien Gisolf (NED)","12 June 1932","Amsterdam[1]"
"1.65 m (5 ft 5 in)","Jean Shiley (USA)","7 August 1932","Los Angeles[1]"
"1.65 m (5 ft 5 in)","Mildred Didrikson (USA)","7 August 1932","Los Angeles[1]"
"1.66 m (5 ft 5 3⁄8 in)","Dorothy Odam (GBR)","29 May 1939","Brentwood[1]"
"1.66 m (5 ft 5 3⁄8 in)","Esther van Heerden (RSA)","29 March 1941","Stellenbosch[1]"
"1.66 m (5 ft 5 3⁄8 in)","Ilsebill Pfenning (SUI)","27 July 1941","Lugano[1]"
"1.71 m (5 ft 7 3⁄8 in)","Fanny Blankers-Koen (NED)","30 May 1943","Amsterdam[1]"
"1.72 m (5 ft 7 3⁄4 in)","Sheila Lerwill (GBR)","7 July 1951","London[1]"
"1.73 m (5 ft 8 1⁄8 in)","Aleksandra Chudina (URS)","22 May 1954","Kiev[1]"
"1.74 m (5 ft 8 1⁄2 in)","Thelma Hopkins (GBR)","5 May 1956","Belfast[1]"
"1.75 m (5 ft 8 7⁄8 in)","Iolanda Balaș (ROM)","14 July 1956","Bucharest[1]"
"1.76 m (5 ft 9 1⁄4 in)","Mildred McDaniel (USA)","1 December 1956","Melbourne[1]"
"1.76 m (5 ft 9 1⁄4 in)","Iolanda Balaş (ROM)","13 October 1957","Bucharest[1]"
"1.77 m (5 ft 9 5⁄8 in)","Zheng Fengrong (CHN)","17 November 1957","Beijing[1]"
"1.78 m (5 ft 10 1⁄8 in)","Iolanda Balaş (ROM)","7 June 1958","Bucharest[1]"
"1.8 m (5 ft 10 7⁄8 in)","Iolanda Balaş (ROM)","22 June 1958","Cluj-Napoca[1]"
"1.81 m (5 ft 11 1⁄4 in)","Iolanda Balaş (ROM)","31 July 1958","Poiana Brasov[1]"
"1.82 m (5 ft 11 5⁄8 in)","Iolanda Balaş (ROM)","4 October 1958","Bucharest[1]"
"1.83 m (6 ft 0 in)","Iolanda Balaş (ROM)","18 October 1958","Bucharest[1]"
"1.84 m (6 ft 1⁄2 in)","Iolanda Balaş (ROM)","21 September 1959","Bucharest[1]"
"1.85 m (6 ft 3⁄4 in)","Iolanda Balaş (ROM)","6 June 1960","Bucharest[1]"
"1.86 m (6 ft 1 1⁄4 in)","Iolanda Balaş (ROM)","10 July 1960","Bucharest[1]"
"1.87 m (6 ft 1 1⁄2 in)","Iolanda Balaş (ROM)","15 April 1961","Bucharest[1]"
"1.88 m (6 ft 2 in)","Iolanda Balaş (ROM)","18 June 1961","Warsaw[1]"
"1.90 m (6 ft 2 3⁄4 in)","Iolanda Balaş (ROM)","8 July 1961","Budapest[1]"
"1.91 m (6 ft 3 1⁄4 in)","Iolanda Balaş (ROM)","16 July 1961","Sofia[1]"
"1.92 m (6 ft 3 1⁄2 in)","Ilona Gusenbauer (AUT)","4 September 1971","Vienna[1]"
"1.92 m (6 ft 3 1⁄2 in)","Ulrike Meyfarth (FRG)","4 September 1972","Munich[1]"
"1.94 m (6 ft 4 1⁄2 in)","Yordanka Blagoeva (BUL)","24 September 1972","Zagreb[1]"
"1.94 m (6 ft 4 1⁄2 in)","Rosemarie Witschas (GDR)","24 August 1974","Berlin[1]"
"1.95 m (6 ft 4 3⁄4 in)","Rosemarie Ackermann (GDR)","8 September 1974","Rome[1]"
"1.96 m (6 ft 5 1⁄4 in)","Rosemarie Ackermann (GDR)","8 May 1976","Dresden[1]"
"1.96 m (6 ft 5 1⁄4 in)","Rosemarie Ackermann (GDR)","3 July 1977","Dresden[1]"
"1.97 m (6 ft 5 1⁄2 in)","Rosemarie Ackermann (GDR)","14 August 1977","Helsinki[1]"
"1.97 m (6 ft 5 1⁄2 in)","Rosemarie Ackermann (GDR)","26 August 1977","West Berlin[1]"
"2.00 m (6 ft 6 3⁄4 in)","Rosemarie Ackermann (GDR)","26 August 1977","West Berlin[1]"
"2.01 m (6 ft 7 1⁄4 in)","Sara Simeoni (ITA)","4 August 1978","Brescia[1]"
"2.01 m (6 ft 7 1⁄4 in)","Sara Simeoni (ITA)","31 August 1978","Prague[1]"
"2.02 m (6 ft 7 1⁄2 in)","Ulrike Meyfarth (FRG)","8 September 1982","Athens[1]"
"2.03 m (6 ft 8 in)","Ulrike Meyfarth (FRG)","21 August 1983","London[1]"
"2.03 m (6 ft 8 in)","Tamara Bykova (URS)","21 August 1983","London[1]"
"2.04 m (6 ft 8 1⁄4 in)","Tamara Bykova (URS)","25 August 1983","Pisa[1]"
"2.05 m (6 ft 8 3⁄4 in)","Tamara Bykova (URS)","22 June 1984","Kiev[1]"
"2.07 m (6 ft 9 1⁄2 in)","Lyudmila Andonova (BUL)","20 July 1984","East Berlin[1]"
"2.07 m (6 ft 9 1⁄2 in)","Stefka Kostadinova (BUL)","25 May 1986","Sofia[1]"
"2.08 m (6 ft 10 in)","Stefka Kostadinova (BUL)","31 May 1986","Sofia[1]"
"2.09 m (6 ft 10 1⁄4 in)","Stefka Kostadinova (BUL)","30 August 1987","Rome[1]"
